OrderID,PurchaseDate,CustomerID,ProductID,SellerID,ChannelID,Quantity,GrossRevenue,DiscountAmount,Net_Revenue,COGS,PlatformFee,PaymentProcessingFee,ShippingFeeCharged,SellerPayout,PaymentMethod,FulfillmentType,ShippingMethod,DeliveryDays,OnTime_Flag,OrderStatus,Return_Flag,Refund_Amount
ORD0000000071,2024-11-27,CUS003289,PRO00566,SEL00037,CH05,2,47.28,2.91,44.37,32.79,0.56,0.61,0.0,43.2,Card,Platform-Fulfilled,Standard,7.3,0,Completed,0,0.0
ORD0000000072,2024-09-24,CUS001645,PRO00510,SEL00133,CH01,1,37.9,5.88,32.02,22.83,2.38,0.39,3.99,33.24,Card,Seller-Fulfilled,Standard,5.9,1,Completed,0,0.0
ORD0000000073,2024-09-14,CUS001291,PRO00060,SEL00032,CH04,1,162.16,25.74,136.42,90.69,11.34,1.91,0.0,123.17,PayPal,Seller-Fulfilled,Express,2.5,1,Completed,0,0.0
ORD0000000074,2024-10-12,CUS005917,PRO00005,SEL00146,CH03,1,15.24,3.02,12.22,8.37,1.24,0.11,0.0,10.87,PayPal,Seller-Fulfilled,Standard,3.6,1,Completed,0,"0,00"
ORD0000000080,2024-05-17,CUS002584,PRO00016,SEL00148,CH06,1,22.26,3.46,18.8,14.41,0.03,0.21,0.0,18.56,BNPL,Platform-Fulfilled,Standard,3.4,1,Returned,0,0.0
ORD0000000081,2024-07-17,CUS002571,PRO00645,SEL00028,CH01,1,29.65,0.06,29.59,22.74,4.28,0.27,0.0,25.04,Card,Seller-Fulfilled,Standard,4.2,1,Completed,0,0.0
ORD0000000085,2024-01-05,CUS005065,PRO00925,SEL00159,CH03,2,192.66,40.73,151.93,95.5,18.05,1.1,0.0,132.78,PayPal,Platform-Fulfilled,Standard,4.4,1,Completed,0,0.0
ORD0000000086,2024-08-04,CUS006840,PRO00222,SEL00166,CH06,1,21.79,3.63,18.16,"12,39",0.22,0.29,3.99,"21,64",Cash on Delivery,Platform-Fulfilled,Standard,3.1,1,Completed,0,0.0
ORD0000000087,2024-01-27,CUS006045,PRO00646,SEL00027,CH05,1,16.81,0.05,16.76,"12,65",1.07,0.1,3.99,19.58,Card,Platform-Fulfilled,Express,2.0,1,Completed,0,0.0
ORD0000000089,2024-09-09,CUS000940,PRO00548,SEL00060,CH04,3,17.55,2.48,15.07,9.51,1.42,0.14,0.0,13.51,Card,Seller-Fulfilled,Standard,3.5,1,Completed,0,0.0
ORD0000000091,2024-05-07,CUS004525,PRO00681,SEL00167,CH03,1,29.54,1.6,27.94,18.35,1.8,"0,18",3.99,29.95,Card,Seller-Fulfilled,Pickup Point,3.5,1,Completed,0,0.0
ORD0000000093,2024-08-29,CUS003334,PRO00916,SEL00409,CH02,4,181.56,23.05,158.51,117.8,20.02,2.65,0.0,"135,84",Card,Seller-Fulfilled,Standard,3.8,1,Completed,0,0.0
ORD0000000097,2024-09-19,CUS003298,PRO00705,SEL00128,CH01,3,103.71,19.69,84.02,59.28,10.02,1.27,5.99,78.72,Card,Platform-Fulfilled,Standard,3.3,1,Completed,0,0.0
ORD0000000098,2024-11-26,CUS006193,PRO00795,SEL00227,CH01,1,38.86,2.91,35.95,19.42,3.73,0.37,0.0,31.85,Card,Seller-Fulfilled,Standard,5.9,1,Completed,0,0.0
ORD0000000104,2024-12-27,CUS004303,PRO00857,SEL00417,CH05,4,24.72,5.26,19.46,10.88,2.69,0.17,0.0,16.6,Card,Seller-Fulfilled,Express,2.5,1,Returned,1,15.95
ORD0000000105,2024-04-18,CUS002731,PRO00211,SEL00083,CH03,2,133.64,17.3,116.34,68.94,"0,23",1.99,2.99,117.11,PayPal,Platform-Fulfilled,Standard,4.3,1,Returned,1,54.54
ORD0000000107,2024-11-21,CUS005262,PRO00101,SEL00177,CH02,2,98.16,12.07,86.09,51.83,"10,99",1.51,2.99,76.58,Card,Seller-Fulfilled,Standard,5.1,1,Completed,0,0.0
ORD0000000113,2024-07-03,CUS000843,PRO00277,SEL00348,CH04,1,20.37,0.15,20.22,12.75,3.4,0.14,3.99,20.67,PayPal,Seller-Fulfilled,Standard,4.3,1,Completed,0,0.0
ORD0000000115,2024-03-24,CUS000035,PRO00373,SEL00276,CH06,1,25.82,5.43,20.39,14.45,2.53,0.18,0.0,17.68,PayPal,Seller-Fulfilled,Express,0.8,1,Completed,0,0.0
ORD0000000118,2024-01-18,CUS000045,PRO00340,SEL00358,CH05,2,24.58,4.72,19.86,13.32,1.57,0.14,2.99,21.14,Card,Platform-Fulfilled,Pickup Point,3.3,1,Completed,0,0.0
ORD0000000131,2024-04-11,CUS003088,PRO00216,SEL00306,CH01,2,110.76,17.07,93.69,56.84,7.65,0.93,5.99,91.1,PayPal,Seller-Fulfilled,Standard,6.1,0,Completed,0,0.0
ORD0000000134,2024-04-10,CUS006755,PRO00828,SEL00263,CH01,1,5.45,0.26,5.19,3.12,0.41,0.04,0.0,4.74,Card,Seller-Fulfilled,Express,1.5,1,Completed,0,0.0
ORD0000000135,2024-08-06,CUS005931,PRO00241,SEL00392,CH05,1,46.21,5.02,41.19,31.7,5.46,0.33,0.0,35.4,PayPal,Seller-Fulfilled,Standard,2.5,1,Completed,0,0.0
ORD0000000137,2024-01-13,CUS003068,PRO00331,SEL00355,CH06,1,13.29,1.33,11.96,6.85,1.83,0.11,0.0,10.02,Card,Platform-Fulfilled,Standard,4.6,1,Completed,0,0.0
ORD0000000138,2024-07-20,CUS000692,PRO00170,SEL00023,CH03,3,53.58,5.91,47.67,"33,10",3.69,0.43,5.99,49.54,PayPal,Platform-Fulfilled,Standard,3.9,1,Completed,0,0.0
ORD0000000150,2024-11-07,CUS000788,PRO00044,SEL00184,CH05,1,9.78,2.31,"7,47",5.91,0.14,0.11,0.0,7.22,BNPL,Seller-Fulfilled,Express,2.6,1,Completed,0,0.0
ORD0000000152,2024-12-21,CUS003087,PRO00782,SEL00220,CH01,1,58.88,16.76,42.12,27.78,7.2,0.33,0.0,34.59,PayPal,Seller-Fulfilled,Standard,4.3,1,Completed,0,0.0
ORD0000000153,2024-03-07,CUS006712,PRO00114,SEL00089,CH01,2,32.36,3.39,"28,97",20.05,3.31,0.28,0.0,25.38,Card,Seller-Fulfilled,Standard,6.1,0,Completed,0,0.0
ORD0000000155,2024-01-28,CUS002996,PRO00263,SEL00238,CH06,2,60.9,10.31,50.59,"30,78",3.49,0.4,3.99,50.69,Cash on Delivery,Seller-Fulfilled,Express,2.8,1,Completed,0,0.0
ORD0000000157,2024-08-18,CUS002194,PRO00937,SEL00235,CH03,3,279.63,56.51,223.12,147.53,22.2,2.44,3.99,202.47,PayPal,Seller-Fulfilled,Standard,5.7,1,Completed,0,0.0
ORD0000000163,2024-06-12,CUS002088,PRO00137,SEL00227,CH06,1,63.89,7.01,56.88,"40,51",5.9,0.78,5.99,56.19,Card,Seller-Fulfilled,Pickup Point,2.7,1,Returned,1,50.19
ORD0000000168,2024-08-15,CUS000708,PRO00668,SEL00346,CH04,1,58.28,6.69,51.59,33.58,"8,04",0.38,0.0,43.17,Card,Seller-Fulfilled,Standard,6.2,0,Cancelled,0,0.0
ORD0000000169,2024-11-02,CUS007090,PRO00878,SEL00390,CH02,1,21.87,3.29,18.58,12.02,2.82,0.14,3.99,19.61,PayPal,Platform-Fulfilled,Standard,5.3,1,Completed,0,0.0
ORD0000000170,2024-12-08,CUS004616,PRO00769,SEL00013,CH03,1,48.08,0.66,47.42,29.21,0.8,0.66,2.99,48.95,Card,Seller-Fulfilled,Standard,7.1,0,Completed,0,0.0
ORD0000000174,2024-11-14,CUS000194,PRO00386,SEL00192,CH02,1,6.21,1.14,5.07,3.59,0.05,0.04,0.0,4.98,PayPal,Seller-Fulfilled,Express,3.1,0,Returned,1,1.81
ORD0000000175,2024-04-29,CUS006871,PRO00739,SEL00035,CH01,1,23.96,2.93,21.03,12.97,3.22,0.21,0.0,17.6,Card,Seller-Fulfilled,Standard,5.6,1,Returned,0,"0,00"
ORD0000000178,2024-02-27,CUS004586,PRO00816,SEL00413,CH03,2,42.16,3.46,38.7,30.07,3.29,0.41,2.99,37.99,BNPL,Seller-Fulfilled,Standard,4.5,1,Completed,0,0.0
ORD0000000180,2024-04-10,CUS003248,PRO00662,SEL00315,CH04,1,19.55,0.0,19.55,12.94,0.14,0.32,3.99,23.08,Card,Seller-Fulfilled,Standard,5.9,1,Completed,0,0.0
ORD0000000184,2024-03-04,CUS001913,PRO00130,SEL00350,CH01,3,607.29,50.05,557.24,404.77,65.59,4.54,2.99,490.1,Card,Seller-Fulfilled,Standard,4.9,1,Completed,0,0.0
ORD0000000188,2024-09-09,CUS003165,PRO00578,SEL00364,CH02,2,27.0,3.67,23.33,16.54,2.44,0.36,3.99,24.52,Card,Seller-Fulfilled,Pickup Point,2.3,1,Completed,0,0.0
ORD0000000191,2024-11-07,CUS001289,PRO00909,SEL00371,CH03,1,44.62,11.37,33.25,25.0,4.36,0.55,0.0,28.34,Card,Seller-Fulfilled,Standard,4.5,1,Returned,1,29.25
ORD0000000193,2024-08-09,CUS003971,PRO00407,SEL00340,CH05,2,20.96,2.39,18.57,14.74,0.05,0.33,3.99,22.18,Card,Platform-Fulfilled,Standard,6.0,1,Returned,0,0.0
ORD0000000196,2024-02-07,CUS000545,PRO00339,SEL00358,CH02,2,6.84,0.7,6.14,3.93,0.49,0.1,3.99,9.54,Card,Seller-Fulfilled,Express,3.1,0,Completed,0,0.0
ORD0000000198,2024-05-24,CUS006212,PRO00233,SEL00387,CH06,2,68.46,10.16,58.3,31.67,4.28,0.42,2.99,56.59,Card,Seller-Fulfilled,Standard,5.1,1,Completed,0,0.0
ORD0000000200,2024-11-20,CUS002355,PRO00610,SEL00174,CH01,2,24.48,0.37,24.11,15.64,1.6,0.4,2.99,25.1,PayPal,Platform-Fulfilled,Standard,2.8,1,Completed,0,0.0
ORD0000000208,2024-10-05,CUS000239,PRO00794,SEL00315,CH04,1,55.87,11.06,"44,81",26.52,0.33,0.46,0.0,44.02,Card,Seller-Fulfilled,Standard,6.0,1,Completed,0,0.0
ORD0000000209,2024-09-15,CUS001667,PRO00484,SEL00050,CH03,2,54.02,4.17,49.85,28.8,8.84,0.68,5.99,46.32,Card,Seller-Fulfilled,Express,1.8,1,Completed,0,0.0
ORD0000000215,2024-10-17,CUS003056,PRO00871,SEL00210,CH01,2,57.04,12.45,44.59,25.9,3.07,0.77,0.0,40.75,PayPal,Seller-Fulfilled,Standard,4.2,1,Completed,0,0.0
ORD0000000217,2024-05-05,CUS004720,PRO00698,SEL00211,CH02,1,5.82,0.76,5.06,3.09,0.81,0.06,5.99,10.18,BNPL,Platform-Fulfilled,Pickup Point,3.6,1,Completed,0,0.0
ORD0000000220,2024-05-22,CUS005113,PRO00532,SEL00223,CH02,1,16.56,3.21,13.35,10.02,0.91,0.21,3.99,16.22,PayPal,Seller-Fulfilled,Express,1.4,1,Completed,0,0.0
ORD0000000221,2024-08-18,CUS002118,PRO00730,SEL00354,CH05,3,29.13,3.67,25.46,17.23,3.25,0.41,0.0,21.8,PayPal,Seller-Fulfilled,Standard,2.9,1,Returned,0,0.0
ORD0000000222,2024-07-26,CUS004253,PRO00756,SEL00339,CH04,2,66.28,13.84,52.44,32.41,"6,10",0.78,3.99,"49,55",Card,Seller-Fulfilled,Standard,4.2,1,Returned,1,32.65
ORD0000000226,2024-03-29,CUS007110,PRO00977,SEL00240,CH05,1,75.55,2.78,72.77,52.69,11.67,1.02,5.99,66.07,Card,Platform-Fulfilled,Express,1.6,1,Returned,1,59.37
ORD0000000228,2024-04-04,CUS005957,PRO00652,SEL00151,CH01,1,67.31,10.17,57.14,43.05,5.78,1.02,3.99,54.33,Card,Platform-Fulfilled,Standard,5.8,1,Completed,0,0.0
ORD0000000229,2024-02-29,CUS002057,PRO00415,SEL00005,CH01,1,70.05,5.23,64.82,44.93,8.1,0.41,0.0,56.31,BNPL,Seller-Fulfilled,Express,3.2,0,Completed,0,0.0
ORD0000000233,2024-12-29,CUS002602,PRO00798,SEL00373,CH01,1,26.06,2.89,23.17,13.84,3.69,0.19,3.99,23.28,Card,Platform-Fulfilled,Standard,4.9,1,Returned,1,15.83
ORD0000000235,2024-05-05,CUS007061,PRO00699,SEL00297,CH03,2,10.18,0.42,9.76,7.17,0.7,0.11,0.0,8.95,Card,Platform-Fulfilled,Standard,6.7,0,Completed,0,0.0
ORD0000000240,2024-10-05,CUS006916,PRO00637,SEL00178,CH04,2,23.04,0.46,22.58,14.91,1.74,0.37,3.99,24.46,PayPal,Platform-Fulfilled,Standard,3.7,1,Completed,0,0.0
ORD0000000241,2024-11-01,CUS003008,PRO00701,SEL00310,CH01,2,149.4,43.54,105.86,69.04,10.52,1.74,5.99,99.59,Card,Seller-Fulfilled,Standard,6.2,0,Completed,0,0.0
ORD0000000246,2024-05-03,CUS006465,PRO00633,SEL00055,CH03,1,8.87,0.0,8.87,5.89,0.85,0.15,0.0,7.87,Card,Seller-Fulfilled,Standard,6.5,0,Completed,0,0.0
ORD0000000247,2024-07-29,CUS000331,PRO00147,SEL00244,CH01,1,28.08,4.17,23.91,18.31,2.93,0.36,0.0,20.62,Card,Platform-Fulfilled,Standard,6.3,0,Returned,0,0.0
ORD0000000248,2024-07-12,CUS003696,PRO00807,SEL00328,CH03,2,46.22,6.57,39.65,22.89,2.96,0.42,0.0,36.27,PayPal,Seller-Fulfilled,Pickup Point,3.3,1,Returned,0,0.0
ORD0000000254,2024-02-10,CUS001790,PRO00328,SEL00321,CH03,1,48.9,3.58,45.32,27.52,7.5,0.46,2.99,40.35,BNPL,Seller-Fulfilled,Standard,5.8,1,Returned,1,32.07
ORD0000000255,2024-05-17,CUS001918,PRO00968,SEL00270,CH01,1,112.75,13.03,99.72,77.56,11.8,0.8,5.99,93.11,Card,Seller-Fulfilled,Standard,7.4,0,Completed,0,0.0
ORD0000000256,2024-03-01,CUS000103,PRO00797,SEL00176,CH02,2,23.22,3.1,20.12,13.12,1.25,0.33,5.99,24.53,PayPal,Platform-Fulfilled,Standard,4.6,1,Completed,0,0.0
ORD0000000258,2024-11-12,CUS006381,PRO00392,SEL00283,CH01,2,61.8,17.01,44.79,34.92,6.03,0.34,0.0,38.42,PayPal,Seller-Fulfilled,Express,2.4,1,Completed,0,0.0
ORD0000000259,2024-01-29,CUS007017,PRO00545,SEL00404,CH03,1,38.75,7.25,31.5,21.02,4.66,0.33,2.99,29.5,Card,Seller-Fulfilled,Express,2.1,1,Completed,0,0.0
ORD0000000265,2024-06-09,CUS006321,PRO00918,SEL00142,CH03,1,54.87,4.35,50.52,35.99,4.29,0.63,2.99,48.59,BNPL,Seller-Fulfilled,Standard,6.3,0,Completed,0,0.0
ORD0000000266,2024-01-04,CUS006310,PRO00897,SEL00293,CH03,3,265.47,7.19,258.28,155.15,22.75,3.85,0.0,231.68,Cash on Delivery,Platform-Fulfilled,Standard,4.3,1,Completed,0,0.0
ORD0000000267,2024-11-05,CUS005437,PRO00019,SEL00235,CH03,4,221.2,23.29,197.91,122.19,19.69,3.21,2.99,178.0,Card,Seller-Fulfilled,Standard,3.7,1,Completed,0,0.0
ORD0000000268,2024-09-20,CUS001346,PRO00486,SEL00024,CH04,1,4.1,0.56,3.54,2.63,0.33,0.04,2.99,6.16,Card,Seller-Fulfilled,Standard,4.2,1,Returned,1,1.98
ORD0000000269,2024-08-07,CUS005409,PRO00343,SEL00184,CH01,1,82.78,3.52,79.26,51.25,1.51,1.08,5.99,82.66,Card,Seller-Fulfilled,Standard,4.6,1,Completed,0,"0,00"
ORD0000000270,2024-01-01,CUS005063,PRO00142,SEL00173,CH03,1,18.15,1.84,16.31,11.54,2.66,0.28,0.0,13.37,BNPL,Platform-Fulfilled,Express,3.5,0,Completed,0,0.0
ORD0000000272,2024-04-05,CUS000218,PRO00739,SEL00190,CH03,1,23.92,3.81,20.11,16.26,2.36,0.12,3.99,21.62,Card,Seller-Fulfilled,Standard,2.3,1,Completed,0,"0,00"
ORD0000000273,2024-05-28,CUS004829,PRO00022,SEL00057,CH01,2,15.46,1.26,14.2,8.74,1.88,0.16,3.99,16.15,BNPL,Seller-Fulfilled,Standard,4.7,1,Completed,0,0.0
ORD0000000276,2024-05-16,CUS000030,PRO00876,SEL00372,CH03,1,44.29,5.26,39.03,28.43,5.78,0.42,0.0,32.83,BNPL,Platform-Fulfilled,Standard,6.1,0,Completed,0,0.0
ORD0000000277,2024-11-28,CUS006865,PRO00373,SEL00403,CH03,1,17.83,2.41,15.42,10.44,2.21,0.16,3.99,17.04,Card,Seller-Fulfilled,Standard,3.8,1,Completed,0,0.0
ORD0000000279,2024-07-26,CUS002639,PRO00074,SEL00087,CH03,2,27.12,5.46,21.66,"17,76","0,19",0.35,0.0,21.12,Bank Transfer,Seller-Fulfilled,Express,3.2,0,Completed,0,0.0
ORD0000000281,2024-08-01,CUS001994,PRO00508,SEL00254,CH01,2,66.96,1.99,64.97,42.08,9.91,0.45,5.99,60.6,Card,Seller-Fulfilled,Standard,3.1,1,Completed,0,0.0
ORD0000000283,2024-11-09,CUS002884,PRO00974,SEL00382,CH03,1,55.44,7.98,47.46,33.32,4.52,0.85,3.99,46.08,Bank Transfer,Seller-Fulfilled,Standard,5.5,1,Completed,0,"0,00"
ORD0000000284,2024-11-19,CUS001637,PRO00069,SEL00107,CH01,1,166.61,41.04,125.57,90.69,20.05,1.27,0.0,104.25,PayPal,Seller-Fulfilled,Express,2.7,1,Completed,0,0.0
ORD0000000292,2024-12-08,CUS002230,PRO00788,SEL00303,CH04,1,116.56,4.33,112.23,86.91,13.75,0.75,2.99,100.72,Card,Platform-Fulfilled,Express,2.6,1,Returned,1,111.09
ORD0000000296,2024-12-16,CUS002861,PRO00370,SEL00122,CH06,4,92.56,18.05,74.51,47.85,12.77,1.04,0.0,60.7,Card,Platform-Fulfilled,Standard,4.5,1,Completed,0,0.0
ORD0000000308,2024-06-11,CUS005817,PRO00171,SEL00326,CH01,3,54.75,7.26,47.49,30.41,0.69,0.67,0.0,46.13,Card,Platform-Fulfilled,Standard,5.0,1,Completed,0,0.0
ORD0000000312,2024-04-27,CUS000819,PRO00378,SEL00033,CH03,2,52.14,1.76,50.38,37.92,3.62,0.65,2.99,49.1,Card,Platform-Fulfilled,Express,1.9,1,Completed,0,0.0
ORD0000000315,2024-11-18,CUS005642,PRO00565,SEL00340,CH06,1,81.0,14.08,66.92,37.57,0.19,0.74,3.99,69.98,Card,Seller-Fulfilled,Standard,2.9,1,Completed,0,0.0
ORD0000000316,2024-10-24,CUS000041,PRO00936,SEL00335,CH01,1,10.04,1.95,8.09,6.02,"1,03",0.13,3.99,10.92,Bank Transfer,Seller-Fulfilled,Standard,4.4,1,Completed,0,0.0
ORD0000000317,2024-12-18,CUS001741,PRO00376,SEL00168,CH01,1,50.59,8.26,42.33,24.02,6.28,0.43,0.0,35.62,Bank Transfer,Seller-Fulfilled,Pickup Point,5.3,1,Returned,1,25.93
ORD0000000319,2024-10-26,CUS002613,PRO00970,SEL00016,CH01,1,6.31,0.48,5.83,3.97,0.48,0.1,2.99,"8,24",Card,Seller-Fulfilled,Express,3.3,0,Completed,0,0.0
ORD0000000321,2024-06-25,CUS006494,PRO00890,SEL00123,CH04,1,7.42,1.5,5.92,3.99,0.39,0.05,2.99,8.47,BNPL,Platform-Fulfilled,Standard,6.6,0,Completed,0,"0,00"
ORD0000000326,2024-03-11,CUS005903,PRO00861,SEL00104,CH01,2,50.8,3.6,47.2,31.99,5.45,0.69,3.99,45.05,Cash on Delivery,Platform-Fulfilled,Express,3.4,0,Returned,1,24.51
ORD0000000327,2024-03-23,CUS002350,PRO00444,SEL00393,CH01,2,100.28,2.05,"98,23","51,91",0.05,0.92,2.99,100.25,PayPal,Seller-Fulfilled,Express,2.0,1,Returned,1,44.78
ORD0000000328,2024-05-29,CUS005481,PRO00246,SEL00399,CH05,1,153.87,6.5,147.37,98.95,24.98,2.33,3.99,124.05,Card,Seller-Fulfilled,Pickup Point,2.6,1,Completed,0,0.0
ORD0000000335,2024-05-26,CUS006083,PRO00841,SEL00412,CH03,3,46.05,4.98,41.07,30.21,5.77,0.38,0.0,34.92,BNPL,Seller-Fulfilled,Standard,5.6,1,Completed,0,0.0
ORD0000000342,2024-02-15,CUS003838,PRO00219,SEL00295,CH02,1,14.43,1.66,12.77,7.41,0.18,0.17,2.99,15.41,Bank Transfer,Seller-Fulfilled,Standard,6.0,1,Completed,0,0.0
ORD0000000344,2024-07-18,CUS001740,PRO00851,SEL00174,CH04,1,36.45,0.35,36.1,26.45,2.39,0.61,2.99,36.09,Card,Platform-Fulfilled,Standard,5.5,1,Completed,0,0.0
ORD0000000351,2024-01-21,CUS000736,PRO00118,SEL00385,CH05,2,24.82,2.75,22.07,15.4,"2,16",0.29,0.0,19.62,PayPal,Seller-Fulfilled,Standard,2.5,1,Completed,0,0.0
ORD0000000360,2024-07-18,CUS002356,PRO00734,SEL00398,CH05,1,37.71,4.59,33.12,20.72,0.44,0.21,0.0,32.47,PayPal,Seller-Fulfilled,Express,1.4,1,Returned,1,17.04
ORD0000000361,2024-12-18,CUS004952,PRO00521,SEL00174,CH06,3,30.99,1.66,29.33,19.64,1.94,0.25,0.0,27.14,PayPal,Seller-Fulfilled,Standard,2.7,1,Returned,0,0.0
ORD0000000362,2024-11-17,CUS004860,PRO00674,SEL00361,CH06,3,182.4,7.46,174.94,133.96,2.24,1.27,5.99,177.42,Bank Transfer,Seller-Fulfilled,Express,2.9,1,Completed,0,0.0
ORD0000000370,2024-03-14,CUS006218,PRO00069,SEL00341,CH02,2,274.44,60.35,214.09,"145,05",27.1,1.48,3.99,189.5,Bank Transfer,Seller-Fulfilled,Express,1.9,1,Returned,0,0.0
ORD0000000371,2024-04-28,CUS002887,PRO00412,SEL00419,CH01,1,21.1,0.51,20.59,13.82,0.39,0.23,0.0,19.97,PayPal,Seller-Fulfilled,Standard,7.0,0,Completed,0,"0,00"
ORD0000000372,2024-04-09,CUS000853,PRO00294,SEL00306,CH03,3,307.41,23.65,283.76,193.66,23.15,1.94,3.99,262.66,PayPal,Seller-Fulfilled,Standard,6.0,1,Cancelled,0,0.0
ORD0000000373,2024-09-28,CUS005089,PRO00067,SEL00054,CH05,1,57.65,2.67,54.98,39.08,6.94,0.75,3.99,51.28,Bank Transfer,Seller-Fulfilled,Standard,1.5,1,Returned,1,28.92
ORD0000000379,2024-05-01,CUS002274,PRO00091,SEL00366,CH06,2,283.3,22.1,261.2,161.25,16.93,3.55,5.99,246.71,BNPL,Seller-Fulfilled,Standard,7.3,0,Completed,0,0.0
ORD0000000380,2024-11-08,CUS001811,PRO00493,SEL00150,CH06,4,79.68,15.02,64.66,42.29,4.17,0.78,0.0,59.71,PayPal,Seller-Fulfilled,Standard,7.1,0,Completed,0,0.0
ORD0000000385,2024-04-29,CUS003586,PRO00772,SEL00090,CH02,1,10.24,2.13,8.11,5.55,0.98,0.09,5.99,13.03,BNPL,Seller-Fulfilled,Standard,5.5,1,Completed,0,0.0
ORD0000000386,2024-05-16,CUS005172,PRO00875,SEL00412,CH04,1,56.6,10.77,45.83,29.23,6.43,0.66,2.99,41.73,PayPal,Seller-Fulfilled,Standard,3.6,1,Completed,0,0.0
ORD0000000392,2024-02-06,CUS002828,PRO00552,SEL00034,CH06,1,59.62,7.77,"51,85",41.53,0.3,0.86,2.99,53.68,Card,Platform-Fulfilled,Standard,4.0,1,Completed,0,0.0
ORD0000000399,2024-12-23,CUS004877,PRO00396,SEL00054,CH01,1,96.5,26.56,69.94,51.49,8.83,0.9,3.99,64.2,Bank Transfer,Seller-Fulfilled,Standard,3.1,1,Returned,1,41.96
ORD0000000408,2024-07-05,CUS001979,PRO00004,SEL00068,CH04,4,250.92,34.22,216.7,179.12,25.16,1.41,5.99,196.12,BNPL,Seller-Fulfilled,Standard,3.4,1,Completed,0,0.0
