SpendID,CampaignDate,CampaignID,ChannelID,Ad_Spend,AttributedRevenue,Conversions,AvgOrderValue,CPA,CVR
MKT000000424,26/03/2024,CMP00210,CH06,649.69,67.74,0,104.31,649.69,0.0001
MKT000000429,21/03/2024,CMP00202,CH03,589.53,2599.54,13,90.16,45.35,0.0015
MKT000000430,10/01/2024,CMP00256,CH06,1639.05,5698.74,33,72.77,49.67,0.0044
MKT000000434,10/12/2024,CMP00099,CH02,194.79,1938.53,14,94.83,13.91,0.0011
MKT000000439,13/04/2024,CMP00115,CH01,528.78,1944.21,10,90.12,52.88,0.0006
MKT000000444,30/09/2024,CMP00220,CH04,951.03,2426.01,9,93.93,105.67,0.0012
MKT000000447,28/01/2024,CMP00039,CH04,"4292,76",16075.96,82,83.71,52.35,0.0145
MKT000000449,20/09/2024,CMP00131,CH04,467.41,1365.65,4,88.27,116.85,0.0008
MKT000000463,25/12/2024,CMP00013,CH06,3799.77,17758.48,68,90.28,55.88,0.0154
MKT000000466,07/02/2024,CMP00172,CH03,308.14,3623.14,30,60.95,10.27,0.0129
MKT000000467,29/12/2024,CMP00189,CH01,2962.25,15318.65,77,108.65,38.47,0.0127
MKT000000471,17/03/2024,CMP00138,CH04,1360.26,4300.27,9,78.25,151.14,0.0007
MKT000000475,20/04/2024,CMP00177,CH04,2405.31,10884.29,68,92.46,35.37,0.0124
MKT000000484,14/01/2024,CMP00168,CH01,4813.09,7488.04,26,124.15,185.12,0.0016
MKT000000487,21/04/2024,CMP00040,CH01,474.31,1030.96,6,67.59,79.05,0.0011
MKT000000488,08/03/2024,CMP00182,CH02,102.78,1703.88,6,85.75,17.13,0.0007
MKT000000489,01/02/2024,CMP00120,CH04,1744.42,6413.49,16,85.62,109.03,0.0024
MKT000000490,04/04/2024,CMP00232,CH06,523.55,2046.43,6,65.91,87.26,0.0008
MKT000000491,22/09/2024,CMP00158,CH06,1042.1,1702.77,3,107.88,347.37,0.0028
MKT000000494,03/05/2024,CMP00274,CH01,6409.98,16086.39,91,106.01,70.44,0.0678
MKT000000497,25/08/2024,CMP00063,CH02,92.73,507.09,2,69.61,46.36,0.0003
MKT000000500,18/03/2024,CMP00242,CH06,943.69,2008.91,8,119.47,117.96,0.0005
MKT000000505,23/11/2024,CMP00143,CH04,5299.05,2021.41,12,116.34,441.59,0.0008
MKT000000511,02/04/2024,CMP00056,CH04,1130.16,2911.64,9,80.75,125.57,0.0009
MKT000000517,03/09/2024,CMP00161,CH01,770.47,5955.9,17,80.77,45.32,0.0041
MKT000000519,22/03/2024,CMP00114,CH05,1860.53,13976.84,85,92.43,21.89,0.0185
MKT000000520,13/03/2024,CMP00084,CH04,319.72,1778.34,7,87.95,45.67,0.001
MKT000000521,01/01/2024,CMP00169,CH03,604.74,4902.37,25,81.65,24.19,0.0018
MKT000000522,09/10/2024,CMP00233,CH01,1719.26,6557.56,35,70.34,49.12,0.0169
MKT000000524,07/09/2024,CMP00275,CH05,1377.95,7739.24,36,90.77,38.28,0.0029
MKT000000527,20/09/2024,CMP00183,CH02,99.51,29.58,0,100.48,99.51,0.0001
MKT000000529,07/10/2024,CMP00101,CH05,3676.5,37597.08,134,96.67,27.44,0.0079
MKT000000535,18/12/2024,CMP00273,CH05,1803.74,6206.24,17,105.48,106.1,0.0018
MKT000000537,12/04/2024,CMP00130,CH04,1840.04,8637.24,65,81.07,28.31,0.0044
MKT000000544,01/11/2024,CMP00022,CH03,1255.1,7583.67,50,132.58,25.1,0.0041
MKT000000546,05/09/2024,CMP00162,CH01,2530.33,13926.23,60,85.25,42.17,0.0116
MKT000000548,05/08/2024,CMP00046,CH05,945.57,3610.76,15,97.11,63.04,0.0024
MKT000000554,01/04/2024,CMP00221,CH04,846.26,3226.17,10,88.67,84.63,0.0041
MKT000000557,26/01/2024,CMP00033,CH04,1804.71,3805.85,7,130.91,257.82,0.0033
MKT000000558,08/10/2024,CMP00210,CH06,1126.9,3426.99,17,119.73,66.29,0.0019
MKT000000562,21/06/2024,CMP00169,CH03,183.36,1347.97,9,73.52,20.37,0.0009
MKT000000566,13/12/2024,CMP00039,CH04,683.49,727.97,1,88.45,683.49,0.0001
MKT000000569,21/02/2024,CMP00070,CH05,1341.41,11439.93,82,131.98,16.36,0.0169
MKT000000570,23/01/2024,CMP00156,CH06,3627.16,11876.11,55,78.32,65.95,0.0402
MKT000000573,11/11/2024,CMP00086,CH03,385.14,3641.3,27,94.4,14.26,0.0017
MKT000000575,26/06/2024,CMP00196,CH03,224.61,1316.48,4,52.03,56.15,0.0003
MKT000000576,17/05/2024,CMP00024,CH04,1201.63,4279.28,17,59.41,70.68,0.0159
MKT000000579,28/03/2024,CMP00046,CH05,486.12,1660.79,2,129.74,243.06,0.0001
MKT000000585,01/01/2024,CMP00218,CH01,837.63,5323.72,39,113.01,21.48,0.0025
MKT000000588,04/05/2024,CMP00273,CH05,748.89,3390.17,9,113.26,83.21,0.0009
MKT000000591,29/06/2024,CMP00119,CH01,352.38,1899.9,12,56.0,29.37,0.0063
MKT000000596,25/06/2024,CMP00106,CH04,1481.39,5407.66,29,73.31,51.08,0.0022
MKT000000597,19/11/2024,CMP00277,CH01,1062.89,4716.28,22,91.54,48.31,0.0025
MKT000000598,12/12/2024,CMP00144,CH04,1108.27,1332.19,5,104.11,221.65,0.0014
MKT000000605,15/04/2024,CMP00044,CH03,454.95,4345.78,25,100.14,18.2,0.0015
MKT000000607,23/01/2024,CMP00042,CH04,4161.88,13659.71,62,111.65,67.13,0.0279
MKT000000611,17/06/2024,CMP00003,CH03,430.19,3984.8,27,97.85,15.93,0.0023
MKT000000621,12/06/2024,CMP00082,CH06,590.6,3089.59,9,98.71,65.62,0.0006
MKT000000624,19/01/2024,CMP00152,CH01,321.39,706.68,4,83.25,80.35,0.0005
MKT000000628,01/03/2024,CMP00141,CH05,831.52,1563.27,9,94.82,92.39,0.0008
MKT000000631,23/01/2024,CMP00047,CH05,573.05,5243.5,29,91.17,19.76,0.0034
MKT000000634,06/12/2024,CMP00036,CH03,2291.82,18124.02,95,81.93,24.12,0.0055
MKT000000635,02/09/2024,CMP00237,CH01,1440.39,13004.27,56,106.73,25.72,0.021
MKT000000638,23/10/2024,CMP00089,CH03,1277.74,12700.18,63,61.07,20.28,0.0312
MKT000000639,21/07/2024,CMP00124,CH01,2110.02,13719.44,64,98.5,32.97,0.0078
MKT000000644,11/12/2024,CMP00041,CH06,827.94,908.99,3,62.34,275.98,0.0003
MKT000000647,12/07/2024,CMP00058,CH05,1820.52,11377.28,71,56.74,25.64,0.0087
MKT000000650,20/05/2024,CMP00014,CH03,479.48,5935.22,46,94.23,10.42,0.0031
MKT000000656,26/01/2024,CMP00042,CH04,1219.18,988.03,6,80.33,203.2,0.0005
MKT000000662,28/03/2024,CMP00229,CH04,3003.35,21222.22,113,95.28,26.58,0.0277
MKT000000666,27/02/2024,CMP00103,CH05,872.02,5035.01,23,96.44,37.91,0.0026
MKT000000677,26/02/2024,CMP00088,CH01,3545.15,21844.52,89,69.55,39.83,0.0086
MKT000000678,06/10/2024,CMP00247,CH04,1362.11,6559.05,35,80.93,38.92,0.0096
MKT000000680,17/04/2024,CMP00195,CH05,1567.96,8084.84,48,63.62,32.67,0.0048
MKT000000683,26/05/2024,CMP00146,CH01,888.69,1714.39,8,92.69,111.09,0.0005
MKT000000685,22/10/2024,CMP00014,CH03,293.46,791.45,6,99.77,48.91,0.0007
MKT000000688,29/11/2024,CMP00081,CH03,1266.84,16838.88,127,66.11,9.98,0.057
MKT000000691,12/11/2024,CMP00120,CH04,2204.35,4489.79,25,98.26,88.17,0.0132
MKT000000704,14/06/2024,CMP00169,CH03,341.05,1457.41,9,97.95,37.89,0.0009
MKT000000706,21/04/2024,CMP00265,CH01,1515.07,5063.72,17,91.37,89.12,0.0013
MKT000000711,19/04/2024,CMP00190,CH06,919.38,2512.79,4,90.19,229.85,0.0003
MKT000000712,28/04/2024,CMP00212,CH01,875.43,2523.42,6,71.1,145.9,0.0012
MKT000000715,18/10/2024,CMP00069,CH03,296.29,3279.07,24,104.71,12.35,0.0023
MKT000000716,02/03/2024,CMP00096,CH03,276.75,2310.38,17,95.53,16.28,0.0014
MKT000000717,12/04/2024,CMP00161,CH01,361.47,1422.02,9,77.23,40.16,0.0006
MKT000000719,30/04/2024,CMP00266,CH01,2926.74,14943.6,50,81.49,58.53,0.0035
MKT000000720,09/12/2024,CMP00103,CH05,2915.43,16443.48,70,88.25,41.65,0.0067
MKT000000724,08/05/2024,CMP00195,CH05,601.07,5484.41,27,62.74,22.26,0.0059
MKT000000729,19/03/2024,CMP00062,CH02,143.21,282.42,1,70.65,143.21,0.0001
MKT000000732,15/06/2024,CMP00044,CH03,603.77,3838.4,26,108.93,23.22,0.0025
MKT000000736,25/05/2024,CMP00182,CH02,94.61,1388.77,6,84.16,15.77,0.0006
MKT000000743,21/08/2024,CMP00082,CH06,1230.76,5042.39,18,71.86,68.38,0.0024
MKT000000745,31/10/2024,CMP00112,CH01,1940.72,5544.99,36,37.18,53.91,0.0037
MKT000000746,20/02/2024,CMP00008,CH01,769.55,6394.27,19,74.79,40.5,0.0014
MKT000000753,10/09/2024,CMP00102,CH02,257.71,2006.43,7,78.9,36.82,0.0012
MKT000000759,06/07/2024,CMP00191,CH01,856.78,2829.74,12,86.29,71.4,0.0032
MKT000000760,25/11/2024,CMP00280,CH01,4468.12,15068.38,49,78.65,91.19,0.0034
MKT000000761,18/04/2024,CMP00051,CH04,528.46,4020.5,16,83.28,33.03,0.0009
MKT000000762,25/04/2024,CMP00263,CH04,1654.9,5740.07,29,90.46,57.07,0.0038
MKT000000770,18/12/2024,CMP00116,CH04,1654.5,4075.35,21,103.06,78.79,0.0026
MKT000000772,04/03/2024,CMP00043,CH01,1151.06,3409.19,18,91.29,63.95,0.0012
MKT000000782,24/08/2024,CMP00080,CH01,1687.93,3743.23,15,110.5,112.53,0.0014
MKT000000788,13/04/2024,CMP00097,CH06,2834.7,3534.26,17,91.36,166.75,0.0013
MKT000000791,02/03/2024,CMP00060,CH02,238.75,2506.29,13,77.0,18.37,0.0013
MKT000000793,10/03/2024,CMP00240,CH03,136.29,840.19,3,78.26,45.43,0.0004
MKT000000794,20/09/2024,CMP00179,CH02,329.64,4968.62,23,55.7,14.33,0.0024
MKT000000795,12/02/2024,CMP00019,CH03,256.0,1317.23,11,80.47,23.27,0.001
MKT000000796,21/07/2024,CMP00091,CH06,611.04,1158.5,4,75.79,152.76,0.0008
MKT000000797,27/04/2024,CMP00156,CH06,3044.65,3947.22,12,115.41,253.72,0.0042
MKT000000804,19/03/2024,CMP00210,CH06,"813,89",6049.9,25,63.5,32.56,0.006
MKT000000806,17/12/2024,CMP00168,CH01,1593.89,6355.07,32,92.84,49.81,0.0021
MKT000000810,12/11/2024,CMP00180,CH01,6758.92,15993.78,66,108.96,102.41,0.0072
MKT000000811,15/07/2024,CMP00272,CH05,721.52,8993.02,38,64.13,18.99,0.006
MKT000000812,22/11/2024,CMP00260,CH03,311.85,4423.04,50,73.56,6.24,0.0093
MKT000000813,30/08/2024,CMP00267,CH05,2525.27,14992.88,46,101.68,54.9,0.0351
MKT000000816,11/11/2024,CMP00272,CH05,3002.82,19323.9,91,101.79,33.0,0.015
MKT000000817,26/08/2024,CMP00114,CH05,621.01,1465.12,4,72.49,155.25,0.0007
MKT000000822,06/12/2024,CMP00174,CH05,1973.94,8228.04,34,79.16,58.06,0.0046
MKT000000829,07/11/2024,CMP00063,CH02,"904,63",3581.65,20,97.61,45.23,0.0011
MKT000000837,13/06/2024,CMP00229,CH04,5949.76,36625.76,139,92.89,42.8,0.0091
MKT000000838,13/12/2024,CMP00183,CH02,97.45,721.85,6,95.56,16.24,0.0009
MKT000000839,05/07/2024,CMP00039,CH04,1066.48,5547.3,23,80.84,46.37,0.0014
MKT000000842,08/02/2024,CMP00199,CH04,322.92,1413.19,9,62.57,35.88,0.0006
MKT000000844,03/12/2024,CMP00088,CH01,1650.68,7613.41,24,103.0,68.78,0.0043
MKT000000848,03/04/2024,CMP00144,CH04,2336.01,9812.18,47,109.76,49.7,0.0065
MKT000000849,06/02/2024,CMP00173,CH05,2116.71,20138.59,106,64.37,19.97,0.0064
MKT000000851,08/09/2024,CMP00114,CH05,1275.18,7890.37,23,98.11,55.44,0.0032
MKT000000854,10/12/2024,CMP00253,CH02,89.12,1132.94,9,88.12,9.9,0.0009
MKT000000857,23/07/2024,CMP00050,CH01,298.46,1037.42,3,80.45,99.49,0.0004
MKT000000859,25/04/2024,CMP00168,CH01,1855.18,7752.07,50,67.28,37.1,0.0035
MKT000000865,11/03/2024,CMP00139,CH03,985.62,14530.71,103,94.26,9.57,0.08
MKT000000869,27/07/2024,CMP00223,CH04,901.07,4904.23,27,57.06,33.37,0.0021
MKT000000877,31/03/2024,CMP00168,CH01,738.34,3150.48,26,146.52,28.4,0.0027
MKT000000891,27/01/2024,CMP00206,CH04,3747.32,15950.15,68,40.47,55.11,0.005
MKT000000893,06/02/2024,CMP00278,CH01,2002.72,5762.37,22,108.56,91.03,0.003
MKT000000899,27/04/2024,CMP00111,CH05,1101.51,4087.2,17,117.3,64.79,0.0011
MKT000000905,22/06/2024,CMP00077,CH01,490.24,1809.74,8,63.84,61.28,0.0005
MKT000000909,14/04/2024,CMP00013,CH06,690.81,3324.88,8,109.21,86.35,0.0005
MKT000000911,25/11/2024,CMP00187,CH04,1647.36,2609.05,5,91.56,329.47,0.0003
MKT000000912,26/10/2024,CMP00073,CH01,1127.35,7148.1,38,83.65,29.67,0.0037
MKT000000928,11/12/2024,CMP00056,CH04,3206.34,12698.26,53,112.68,60.5,0.0093
MKT000000931,11/03/2024,CMP00053,CH04,3551.02,13607.57,63,76.89,56.37,0.0107
MKT000000932,23/06/2024,CMP00202,CH03,850.57,5407.1,38,74.97,22.38,0.0031
MKT000000938,29/02/2024,CMP00195,CH05,3546.91,15723.94,61,78.69,58.15,0.0095
MKT000000942,06/04/2024,CMP00077,CH01,1066.84,3042.53,13,79.94,82.06,0.0039
MKT000000943,02/11/2024,CMP00095,CH02,341.75,5683.51,27,84.49,12.66,0.0016
MKT000000951,22/08/2024,CMP00045,CH05,895.81,5332.15,31,101.83,28.9,0.0019
MKT000000952,05/12/2024,CMP00112,CH01,2952.32,11410.58,55,78.22,53.68,0.0106
MKT000000963,11/11/2024,CMP00256,CH06,602.91,1571.86,9,108.19,66.99,0.0005
MKT000000967,16/03/2024,CMP00247,CH04,1368.35,7868.83,42,66.87,32.58,0.0051
MKT000000983,13/06/2024,CMP00179,CH02,197.21,479.84,3,113.47,65.74,0.0005
MKT000000985,04/07/2024,CMP00268,CH01,2128.72,31328.32,172,70.21,12.38,0.0183
MKT000000988,18/10/2024,CMP00068,CH01,318.73,1478.92,6,72.15,53.12,0.0013
MKT000000994,13/11/2024,CMP00228,CH01,1575.88,7070.04,41,99.85,38.44,0.0024
MKT000000997,14/07/2024,CMP00163,CH04,2981.39,14959.15,85,102.83,35.08,0.0072
MKT000001003,14/01/2024,CMP00224,CH02,306.35,5387.09,21,102.69,14.59,0.0048
MKT000001005,23/01/2024,CMP00008,CH01,646.02,2436.05,19,117.1,34.0,0.0012
MKT000001012,11/03/2024,CMP00040,CH01,1731.28,8330.23,38,108.28,45.56,0.0113
MKT000001014,19/02/2024,CMP00030,CH02,234.51,2873.06,17,66.92,13.79,0.001
MKT000001016,21/09/2024,CMP00252,CH04,2005.19,10905.5,50,93.37,40.1,0.0058
MKT000001020,05/10/2024,CMP00267,CH05,1944.04,9334.96,42,107.9,46.29,0.0104
MKT000001021,14/10/2024,CMP00110,CH06,516.3,2142.64,4,83.25,129.07,0.001
MKT000001022,12/10/2024,CMP00213,CH02,1059.02,2198.04,17,82.15,62.3,0.0011
MKT000001024,04/11/2024,CMP00214,CH03,1779.18,18056.66,100,95.32,17.79,0.08
MKT000001025,20/02/2024,CMP00269,CH01,1235.08,5077.47,24,88.46,51.46,0.0038
MKT000001027,24/10/2024,CMP00204,CH04,2367.24,5020.71,23,80.67,102.92,0.0021
MKT000001030,17/02/2024,CMP00093,CH06,"707,68",534.66,0,109.54,707.68,0.0001
MKT000001042,09/12/2024,CMP00026,CH02,147.77,2109.1,7,75.82,21.11,0.0007
MKT000001045,31/03/2024,CMP00078,CH01,2543.33,10301.82,40,74.33,63.58,0.0031
MKT000001047,04/11/2024,CMP00227,CH05,4217.71,38621.77,155,80.34,27.21,0.08
MKT000001055,06/11/2024,CMP00094,CH01,506.72,1711.84,9,100.08,56.3,0.0014
MKT000001056,14/01/2024,CMP00272,CH05,1754.78,7616.59,43,63.95,40.81,0.016
