OrderID,OrderDate,CustomerID,ProductID,SellerID,ChannelID,Quantity,GrossRevenue,DiscountAmount,NetRevenue,CostOfGoodsSold,PlatformFee,PaymentProcessingFee,ShippingFeeCharged,SellerPayout,PaymentMethod,FulfillmentType,ShippingMethod,DeliveryDays,OnTimeDeliveryFlag,OrderStatus,ReturnFlag,RefundAmount
ORD0000000056,2022-09-26,CUS001119,PRO00323,SEL00047,CH04,1,191.99,37.86,154.13,103.86,10.37,2.36,0.0,141.4,Cash on Delivery,Platform-Fulfilled,Standard,6.7,0,Completed,0,0.0
ORD0000000057,2022-02-16,CUS004926,PRO00656,SEL00341,CH01,1,16.29,3.13,13.16,9.46,1.67,0.21,0.0,11.28,PayPal,Platform-Fulfilled,Express,3.1,0,Completed,0,0.0
ORD0000000058,2022-07-09,CUS007108,PRO00941,SEL00315,CH06,3,87.45,8.2,79.25,56.02,0.59,1.22,3.99,81.43,PayPal,Seller-Fulfilled,Standard,3.0,1,Completed,0,0.0
ORD0000000059,2021-04-13,CUS006287,PRO00778,SEL00249,CH05,1,17.68,0.56,17.12,9.45,1.59,0.11,0.0,15.42,Card,Seller-Fulfilled,Express,2.9,1,Completed,0,0.0
ORD0000000061,2022-05-14,CUS004858,PRO00164,SEL00225,CH03,1,76.95,13.5,63.45,43.93,8.53,0.58,5.99,60.33,Card,Seller-Fulfilled,Standard,4.3,1,Completed,0,0.0
ORD0000000063,2022-12-26,CUS000146,PRO00698,SEL00210,CH02,2,9.28,0.24,9.04,5.98,0.62,0.1,0.0,8.32,Card,Seller-Fulfilled,Standard,4.4,1,Completed,0,0.0
ORD0000000065,2022-05-29,CUS003318,PRO00454,SEL00360,CH03,1,50.0,1.73,48.27,30.3,7.22,0.32,3.99,44.72,Card,Platform-Fulfilled,Standard,7.8,0,Completed,0,0.0
ORD0000000067,2021-04-27,CUS007011,PRO00383,SEL00379,CH01,1,115.54,5.44,110.1,85.07,9.56,1.49,0.0,99.05,Card,Seller-Fulfilled,Standard,3.8,1,Completed,0,0.0
ORD0000000068,2021-08-28,CUS000547,PRO00459,SEL00092,CH03,1,26.86,2.11,24.75,15.22,2.06,0.27,3.99,26.41,Card,Seller-Fulfilled,Standard,3.2,1,Completed,0,0.0
ORD0000000077,2021-07-22,CUS003163,PRO00128,SEL00169,CH05,1,10.49,0.7,9.79,7.87,0.82,0.11,0.0,8.86,Cash on Delivery,Seller-Fulfilled,Standard,6.9,0,Completed,0,0.0
ORD0000000078,2022-08-22,CUS004589,PRO00556,SEL00208,CH01,3,35.07,1.03,34.04,20.99,3.25,0.5,3.99,34.28,Bank Transfer,Seller-Fulfilled,Standard,7.1,0,Completed,0,0.0
ORD0000000079,2021-08-15,CUS000750,PRO00031,SEL00351,CH06,4,268.2,54.27,213.93,128.43,1.3,3.52,2.99,212.1,Cash on Delivery,Seller-Fulfilled,Pickup Point,4.7,1,Completed,0,0.0
ORD0000000082,2022-01-17,CUS004148,PRO00378,SEL00269,CH03,1,24.8,3.73,21.07,11.81,1.4,0.32,0.0,19.35,Card,Seller-Fulfilled,Standard,5.6,1,Returned,1,13.12
ORD0000000088,2021-05-05,CUS005069,PRO00315,SEL00211,CH01,1,23.82,5.23,18.59,10.05,2.98,0.25,2.99,18.35,Card,Seller-Fulfilled,Standard,5.0,1,Completed,0,0.0
ORD0000000090,2021-05-03,CUS002021,PRO00595,SEL00247,CH02,1,76.86,3.61,73.25,53.64,11.3,0.9,2.99,64.04,Card,Seller-Fulfilled,Standard,7.9,0,Completed,0,0.0
ORD0000000092,2021-04-06,CUS006983,PRO00858,SEL00407,CH05,2,59.88,12.32,47.56,37.91,0.78,0.56,0.0,46.22,Card,Platform-Fulfilled,Standard,3.4,1,Completed,0,0.0
ORD0000000095,2021-11-15,CUS003178,PRO00057,SEL00196,CH05,1,48.63,3.33,45.3,30.27,6.08,0.64,2.99,41.57,BNPL,Seller-Fulfilled,Express,2.8,1,Completed,0,0.0
ORD0000000096,2022-03-12,CUS003455,PRO00929,SEL00190,CH05,2,57.24,3.09,54.15,42.14,6.36,0.89,2.99,49.89,Card,Seller-Fulfilled,Standard,5.6,1,Completed,0,0.0
ORD0000000101,2022-09-09,CUS006381,PRO00180,SEL00007,CH01,1,30.98,6.59,24.39,18.66,1.51,0.38,2.99,25.49,Card,Seller-Fulfilled,Express,2.2,1,Completed,0,0.0
ORD0000000103,2022-01-03,CUS006909,PRO00821,SEL00230,CH03,1,82.73,14.22,68.51,41.76,12.25,0.82,2.99,58.43,Card,Seller-Fulfilled,Standard,5.6,1,Completed,0,0.0
ORD0000000111,2022-04-11,CUS001231,PRO00960,SEL00384,CH04,1,131.82,25.16,106.66,79.5,7.37,0.88,5.99,104.4,PayPal,Seller-Fulfilled,Standard,5.5,1,Completed,0,0.0
ORD0000000112,2021-11-16,CUS000664,PRO00396,SEL00139,CH06,1,112.33,16.37,95.96,73.31,9.37,1.5,3.99,89.08,Card,Seller-Fulfilled,Standard,4.5,1,Completed,0,0.0
ORD0000000114,2022-01-31,CUS003274,PRO00620,SEL00246,CH02,2,146.94,27.2,119.74,82.25,1.65,1.31,2.99,119.77,Bank Transfer,Platform-Fulfilled,Express,2.4,1,Completed,0,0.0
ORD0000000116,2021-12-22,CUS005843,PRO00845,SEL00322,CH04,2,514.86,142.17,372.69,283.25,2.76,5.76,3.99,368.16,Card,Seller-Fulfilled,Standard,6.0,1,Completed,0,0.0
ORD0000000117,2021-06-24,CUS001520,PRO00140,SEL00052,CH03,4,345.28,36.44,308.84,175.65,34.53,3.09,0.0,271.22,BNPL,Seller-Fulfilled,Standard,4.2,1,Completed,0,0.0
ORD0000000119,2021-11-08,CUS004269,PRO00422,SEL00270,CH01,2,42.7,7.24,35.46,25.71,4.19,0.56,5.99,36.7,Card,Seller-Fulfilled,Standard,4.0,1,Completed,0,0.0
ORD0000000120,2021-06-19,CUS005049,PRO00758,SEL00092,CH01,1,136.25,10.37,125.88,104.4,10.5,1.51,0.0,113.87,PayPal,Seller-Fulfilled,Standard,5.2,1,Completed,0,0.0
ORD0000000121,2021-01-12,CUS006779,PRO00772,SEL00367,CH04,3,32.34,1.43,30.91,17.09,0.18,0.5,3.99,34.22,PayPal,Seller-Fulfilled,Standard,2.8,1,Cancelled,0,0.0
ORD0000000122,2022-05-31,CUS006088,PRO00284,SEL00023,CH01,2,147.96,13.39,134.57,82.26,10.42,0.84,3.99,127.3,BNPL,Platform-Fulfilled,Standard,8.2,0,Completed,0,0.0
ORD0000000123,2021-06-02,CUS006621,PRO00298,SEL00107,CH03,1,43.07,0.83,42.24,32.17,6.75,0.27,0.0,35.22,PayPal,Seller-Fulfilled,Standard,6.3,0,Completed,0,0.0
ORD0000000124,2022-11-28,CUS002747,PRO00546,SEL00364,CH03,1,113.85,23.2,90.65,65.78,9.5,1.09,3.99,84.05,Bank Transfer,Platform-Fulfilled,Pickup Point,4.5,1,Completed,0,0.0
ORD0000000126,2022-01-22,CUS005164,PRO00742,SEL00199,CH06,1,56.49,9.77,46.72,34.2,0.48,0.7,3.99,49.53,Cash on Delivery,Platform-Fulfilled,Standard,5.3,1,Returned,1,37.94
ORD0000000127,2021-07-23,CUS000697,PRO00596,SEL00346,CH01,1,12.61,0.14,12.47,7.95,1.94,0.22,0.0,10.31,Card,Seller-Fulfilled,Express,2.4,1,Completed,0,0.0
ORD0000000128,2022-03-21,CUS005739,PRO00595,SEL00291,CH06,2,186.38,18.29,168.09,100.17,16.09,1.71,0.0,150.29,Card,Platform-Fulfilled,Standard,5.6,1,Completed,0,0.0
ORD0000000129,2022-05-29,CUS001015,PRO00848,SEL00391,CH04,1,16.37,1.06,15.31,9.43,1.07,0.26,3.99,17.97,Card,Platform-Fulfilled,Express,0.8,1,Completed,0,0.0
ORD0000000130,2021-07-18,CUS003089,PRO00445,SEL00073,CH06,1,216.74,31.81,184.93,130.59,18.44,1.57,0.0,164.92,PayPal,Platform-Fulfilled,Standard,4.7,1,Returned,0,0.0
ORD0000000141,2022-02-26,CUS006417,PRO00172,SEL00311,CH05,1,14.23,2.35,11.88,7.51,1.05,0.21,0.0,10.62,PayPal,Seller-Fulfilled,Express,2.1,1,Completed,0,0.0
ORD0000000142,2022-08-03,CUS002249,PRO00162,SEL00026,CH03,2,89.32,5.99,83.33,59.17,11.84,0.62,0.0,70.87,Card,Seller-Fulfilled,Express,3.1,0,Completed,0,0.0
ORD0000000144,2021-12-26,CUS005819,PRO00218,SEL00001,CH01,1,62.0,11.4,50.6,38.21,8.95,0.69,3.99,44.95,PayPal,Seller-Fulfilled,Standard,4.9,1,Completed,0,0.0
ORD0000000145,2022-06-05,CUS006959,PRO00971,SEL00079,CH06,1,32.63,3.05,29.58,20.12,4.39,0.48,2.99,27.7,Card,Seller-Fulfilled,Pickup Point,3.5,1,Completed,0,0.0
ORD0000000148,2022-12-29,CUS003965,PRO00145,SEL00321,CH04,1,37.19,4.09,33.1,21.19,5.48,0.38,3.99,31.23,Card,Seller-Fulfilled,Standard,6.3,0,Completed,0,0.0
ORD0000000149,2022-06-03,CUS005508,PRO00823,SEL00173,CH01,1,147.83,27.79,120.04,84.97,19.6,0.8,2.99,102.63,PayPal,Seller-Fulfilled,Standard,4.1,1,Completed,0,0.0
ORD0000000151,2022-01-26,CUS001238,PRO00877,SEL00255,CH03,3,16.56,1.22,15.34,10.52,0.04,0.13,5.99,21.16,Card,Platform-Fulfilled,Pickup Point,4.9,1,Returned,0,0.0
ORD0000000154,2022-06-30,CUS000882,PRO00671,SEL00357,CH05,1,29.31,5.02,24.29,14.4,1.73,0.19,5.99,28.36,Cash on Delivery,Platform-Fulfilled,Express,2.5,1,Completed,0,0.0
ORD0000000160,2022-09-23,CUS004783,PRO00296,SEL00038,CH03,1,11.88,0.16,11.72,7.35,0.16,0.14,2.99,14.41,PayPal,Platform-Fulfilled,Standard,5.6,1,Completed,0,0.0
ORD0000000162,2021-05-01,CUS002721,PRO00603,SEL00217,CH02,2,73.62,14.99,58.63,35.66,8.62,0.57,0.0,49.44,Bank Transfer,Platform-Fulfilled,Standard,4.6,1,Completed,0,0.0
ORD0000000164,2021-10-08,CUS001781,PRO00778,SEL00291,CH03,2,44.16,4.81,39.35,21.06,3.77,0.38,0.0,35.2,Card,Seller-Fulfilled,Express,3.1,0,Completed,0,0.0
ORD0000000171,2022-05-07,CUS002387,PRO00146,SEL00355,CH01,1,20.69,1.56,19.13,11.89,2.93,0.15,0.0,16.05,Card,Seller-Fulfilled,Pickup Point,4.4,1,Completed,0,0.0
ORD0000000172,2022-01-08,CUS004567,PRO00128,SEL00419,CH02,1,11.29,1.42,9.87,6.73,0.19,0.06,3.99,13.61,Card,Seller-Fulfilled,Express,2.8,1,Returned,0,0.0
ORD0000000173,2022-03-15,CUS006591,PRO00086,SEL00378,CH06,2,42.26,6.76,35.5,22.48,3.85,0.25,0.0,31.4,Cash on Delivery,Seller-Fulfilled,Express,1.2,1,Completed,0,0.0
ORD0000000179,2022-11-21,CUS006112,PRO00561,SEL00049,CH06,1,101.86,30.43,71.43,41.02,1.08,0.6,3.99,73.74,PayPal,Seller-Fulfilled,Express,3.6,0,Completed,0,0.0
ORD0000000185,2022-03-09,CUS003068,PRO00362,SEL00199,CH03,1,28.0,3.18,24.82,14.15,0.25,0.21,2.99,27.35,PayPal,Platform-Fulfilled,Express,1.5,1,Returned,0,0.0
ORD0000000187,2022-12-15,CUS002065,PRO00792,SEL00091,CH05,1,6.14,1.68,4.46,2.82,0.65,0.05,0.0,3.76,Card,Platform-Fulfilled,Standard,3.7,1,Completed,0,0.0
ORD0000000190,2021-10-05,CUS006404,PRO00029,SEL00209,CH04,2,292.76,53.36,239.4,149.96,21.0,2.43,5.99,221.96,Card,Seller-Fulfilled,Standard,4.9,1,Completed,0,0.0
ORD0000000194,2021-11-30,CUS000820,PRO00907,SEL00314,CH06,2,191.58,32.79,158.79,104.35,22.8,1.25,3.99,138.73,BNPL,Platform-Fulfilled,Standard,2.1,1,Completed,0,0.0
ORD0000000197,2021-06-03,CUS000392,PRO00957,SEL00228,CH03,2,164.94,22.64,142.3,94.96,13.29,1.26,3.99,131.74,Card,Seller-Fulfilled,Standard,3.4,1,Returned,1,61.82
ORD0000000199,2022-11-20,CUS006338,PRO00180,SEL00310,CH01,4,128.68,3.0,125.68,93.57,12.49,1.88,2.99,114.3,PayPal,Seller-Fulfilled,Pickup Point,3.5,1,Returned,1,116.98
ORD0000000204,2021-12-17,CUS005767,PRO00701,SEL00073,CH01,1,95.4,7.79,87.61,63.97,8.73,0.73,2.99,81.14,BNPL,Platform-Fulfilled,Standard,4.1,1,Completed,0,0.0
ORD0000000205,2021-08-15,CUS006046,PRO00770,SEL00411,CH01,1,29.24,3.39,25.85,17.22,3.73,0.44,2.99,24.67,Card,Seller-Fulfilled,Express,1.4,1,Completed,0,0.0
ORD0000000211,2022-01-07,CUS004136,PRO00211,SEL00012,CH01,1,64.2,7.46,56.74,40.78,6.92,0.5,3.99,53.31,PayPal,Seller-Fulfilled,Standard,4.4,1,Completed,0,0.0
ORD0000000212,2022-03-21,CUS000991,PRO00841,SEL00031,CH04,1,18.25,0.34,17.91,12.1,0.02,0.19,0.0,17.7,BNPL,Seller-Fulfilled,Standard,5.2,1,Returned,0,0.0
ORD0000000213,2021-06-12,CUS004911,PRO00568,SEL00172,CH01,1,13.7,2.66,11.04,7.72,1.82,0.14,0.0,9.08,Card,Platform-Fulfilled,Standard,5.0,1,Returned,1,5.9
ORD0000000214,2022-02-06,CUS000571,PRO00617,SEL00325,CH06,1,83.65,16.22,67.43,43.92,5.37,0.58,0.0,61.48,Bank Transfer,Seller-Fulfilled,Standard,5.1,1,Completed,0,0.0
ORD0000000216,2021-05-22,CUS003694,PRO00315,SEL00199,CH01,3,81.24,3.98,77.26,53.13,0.79,0.86,5.99,81.6,BNPL,Platform-Fulfilled,Standard,6.3,0,Completed,0,0.0
ORD0000000218,2021-09-26,CUS006931,PRO00632,SEL00168,CH04,1,7.76,1.5,6.26,3.64,0.93,0.06,5.99,11.26,BNPL,Seller-Fulfilled,Standard,5.9,1,Completed,0,0.0
ORD0000000219,2022-01-06,CUS006417,PRO00294,SEL00156,CH01,3,330.84,57.74,273.1,200.02,39.57,4.08,3.99,233.44,BNPL,Seller-Fulfilled,Express,2.8,1,Cancelled,0,0.0
ORD0000000223,2022-01-26,CUS002632,PRO00362,SEL00122,CH05,3,73.29,9.63,63.66,33.76,10.91,1.09,3.99,55.65,Cash on Delivery,Seller-Fulfilled,Standard,3.7,1,Completed,0,0.0
ORD0000000227,2022-07-26,CUS002588,PRO00505,SEL00298,CH01,3,143.94,13.62,130.32,79.49,20.08,2.05,5.99,114.18,BNPL,Platform-Fulfilled,Pickup Point,2.4,1,Returned,1,107.47
ORD0000000230,2021-12-18,CUS000373,PRO00336,SEL00177,CH06,1,116.49,12.27,104.22,83.29,13.31,0.63,3.99,94.27,Card,Seller-Fulfilled,Express,3.8,0,Completed,0,0.0
ORD0000000231,2021-10-03,CUS000744,PRO00485,SEL00312,CH04,2,99.0,0.2,98.8,66.39,0.3,1.3,3.99,101.19,Cash on Delivery,Platform-Fulfilled,Standard,7.8,0,Completed,0,0.0
ORD0000000232,2021-09-08,CUS005532,PRO00061,SEL00061,CH04,1,86.84,6.04,80.8,43.78,8.08,1.15,3.99,75.56,BNPL,Platform-Fulfilled,Standard,3.9,1,Completed,0,0.0
ORD0000000234,2022-02-21,CUS006843,PRO00598,SEL00298,CH01,1,55.79,11.56,44.23,35.13,6.82,0.76,3.99,40.64,Card,Seller-Fulfilled,Standard,5.3,1,Completed,0,0.0
ORD0000000237,2021-02-27,CUS003322,PRO00455,SEL00400,CH02,3,31.02,2.83,28.19,18.38,3.79,0.32,2.99,27.07,PayPal,Seller-Fulfilled,Pickup Point,5.2,1,Returned,0,0.0
ORD0000000238,2022-03-28,CUS002547,PRO00122,SEL00189,CH06,1,26.31,4.69,21.62,14.74,0.05,0.32,0.0,21.25,BNPL,Platform-Fulfilled,Standard,5.0,1,Returned,0,0.0
ORD0000000239,2021-01-12,CUS000395,PRO00103,SEL00160,CH05,1,18.42,3.23,15.19,10.06,2.55,0.24,0.0,12.4,PayPal,Seller-Fulfilled,Express,2.1,1,Completed,0,0.0
ORD0000000243,2021-09-25,CUS003020,PRO00312,SEL00336,CH05,1,42.45,2.32,40.13,28.96,6.59,0.33,5.99,39.2,Card,Seller-Fulfilled,Express,2.5,1,Completed,0,0.0
ORD0000000249,2021-01-16,CUS003222,PRO00655,SEL00126,CH04,2,142.78,19.11,123.67,86.93,16.11,0.88,2.99,109.67,Bank Transfer,Seller-Fulfilled,Pickup Point,5.3,1,Completed,0,0.0
ORD0000000250,2021-12-10,CUS004918,PRO00694,SEL00024,CH03,1,62.95,17.08,45.87,32.21,4.24,0.41,2.99,44.21,PayPal,Seller-Fulfilled,Standard,5.1,1,Completed,0,0.0
ORD0000000251,2021-06-04,CUS004909,PRO00391,SEL00053,CH06,1,11.4,0.96,10.44,7.07,1.54,0.11,3.99,12.78,Card,Seller-Fulfilled,Express,2.1,1,Completed,0,0.0
ORD0000000252,2021-10-04,CUS005620,PRO00520,SEL00181,CH04,1,7.6,1.05,6.55,4.74,0.55,0.08,0.0,5.92,Card,Seller-Fulfilled,Pickup Point,2.3,1,Completed,0,0.0
ORD0000000253,2021-08-27,CUS003759,PRO00513,SEL00403,CH04,1,82.4,11.67,70.73,47.97,10.15,0.83,0.0,59.75,Card,Seller-Fulfilled,Standard,2.5,1,Completed,0,0.0
ORD0000000257,2022-06-16,CUS001629,PRO00328,SEL00317,CH04,2,110.24,10.8,99.44,73.24,9.49,1.54,2.99,91.4,Card,Platform-Fulfilled,Standard,5.1,1,Completed,0,0.0
ORD0000000260,2022-05-20,CUS004991,PRO00226,SEL00015,CH01,3,132.93,4.56,128.37,92.42,22.22,0.91,3.99,109.23,Card,Seller-Fulfilled,Standard,7.0,0,Completed,0,0.0
ORD0000000262,2021-11-06,CUS005282,PRO00958,SEL00168,CH01,1,14.51,0.4,14.11,10.36,2.09,0.12,0.0,11.9,Cash on Delivery,Platform-Fulfilled,Standard,5.4,1,Returned,0,0.0
ORD0000000264,2021-03-18,CUS006033,PRO00349,SEL00392,CH01,1,70.92,0.43,70.49,53.6,9.34,0.43,0.0,60.72,Card,Seller-Fulfilled,Standard,6.5,0,Completed,0,0.0
ORD0000000271,2021-12-30,CUS001342,PRO00713,SEL00082,CH03,1,205.78,32.4,173.38,104.19,25.4,2.4,3.99,149.57,Card,Seller-Fulfilled,Pickup Point,0.8,1,Completed,0,0.0
ORD0000000275,2021-09-10,CUS002616,PRO00823,SEL00408,CH03,1,180.05,33.12,146.93,112.94,1.56,1.95,2.99,146.41,Card,Seller-Fulfilled,Standard,3.7,1,Completed,0,0.0
ORD0000000282,2021-03-31,CUS002046,PRO00223,SEL00102,CH02,2,235.76,15.64,220.12,142.97,35.79,2.75,3.99,185.57,Cash on Delivery,Seller-Fulfilled,Express,1.6,1,Completed,0,0.0
ORD0000000285,2022-04-02,CUS006297,PRO00053,SEL00317,CH02,1,26.71,0.94,25.77,15.77,2.46,0.42,2.99,25.88,Cash on Delivery,Seller-Fulfilled,Express,3.3,0,Completed,0,0.0
ORD0000000287,2022-07-04,CUS004959,PRO00362,SEL00145,CH04,1,24.37,4.88,19.49,13.73,0.07,0.19,0.0,19.23,Card,Seller-Fulfilled,Standard,6.3,0,Completed,0,0.0
ORD0000000288,2021-07-01,CUS002407,PRO00505,SEL00341,CH03,1,58.13,3.48,54.65,32.51,6.92,0.78,0.0,46.95,PayPal,Platform-Fulfilled,Standard,4.8,1,Completed,0,0.0
ORD0000000291,2022-12-04,CUS003431,PRO00927,SEL00065,CH06,2,402.22,51.77,350.45,250.27,27.27,3.16,0.0,320.02,Bank Transfer,Seller-Fulfilled,Standard,5.7,1,Completed,0,0.0
ORD0000000293,2022-01-15,CUS003672,PRO00851,SEL00032,CH03,1,34.12,5.97,28.15,20.1,2.34,0.42,0.0,25.39,Cash on Delivery,Seller-Fulfilled,Standard,6.2,0,Completed,0,0.0
ORD0000000294,2021-09-06,CUS006794,PRO00898,SEL00108,CH02,2,30.08,2.75,27.33,20.44,1.68,0.17,3.99,29.47,Card,Seller-Fulfilled,Standard,6.6,0,Completed,0,0.0
ORD0000000295,2022-10-25,CUS003035,PRO00905,SEL00305,CH01,4,33.08,2.68,30.4,20.97,0.15,0.2,5.99,36.04,BNPL,Seller-Fulfilled,Standard,7.9,0,Completed,0,0.0
ORD0000000297,2022-10-27,CUS007060,PRO00292,SEL00244,CH01,2,269.62,4.37,265.25,196.48,32.49,2.57,0.0,230.19,Bank Transfer,Seller-Fulfilled,Standard,5.5,1,Completed,0,0.0
ORD0000000300,2021-10-01,CUS003478,PRO00625,SEL00235,CH01,1,23.27,0.34,22.93,14.61,2.28,0.26,0.0,20.39,Card,Seller-Fulfilled,Standard,6.4,0,Completed,0,0.0
ORD0000000301,2022-02-15,CUS002139,PRO00203,SEL00249,CH04,1,59.81,11.52,48.29,35.05,4.49,0.38,0.0,43.42,Card,Platform-Fulfilled,Standard,5.6,1,Completed,0,0.0
ORD0000000303,2022-08-14,CUS004154,PRO00873,SEL00415,CH01,2,61.98,6.27,55.71,37.31,6.42,0.4,5.99,54.88,Card,Seller-Fulfilled,Standard,5.2,1,Completed,0,0.0
ORD0000000304,2021-11-21,CUS004685,PRO00320,SEL00313,CH05,1,12.0,2.21,9.79,7.38,0.04,0.11,3.99,13.63,Card,Platform-Fulfilled,Express,3.3,0,Completed,0,0.0
ORD0000000309,2021-05-26,CUS000963,PRO00609,SEL00232,CH05,2,161.0,2.73,158.27,108.83,25.66,1.63,2.99,133.97,Cash on Delivery,Seller-Fulfilled,Pickup Point,3.1,1,Completed,0,0.0
ORD0000000310,2022-12-08,CUS005660,PRO00507,SEL00194,CH03,2,62.58,11.66,50.92,30.09,8.82,0.64,2.99,44.45,Card,Platform-Fulfilled,Standard,4.7,1,Completed,0,0.0
