SpendID,SpendDate,CampaignID,ChannelID,AdSpend,AttributedRevenue,Conversions,AvgOrderValue,CPA,ConversionRate
MKT000000356,2023-01-08,CMP00090,CH03,814.82,7163.12,45,110.9,18.11,0.0144
MKT000000359,2023-06-19,CMP00005,CH06,1570.66,5683.42,22,60.66,71.39,0.0012
MKT000000364,2023-02-17,CMP00091,CH06,931.69,4266.12,17,82.21,54.81,0.001
MKT000000367,2023-06-11,CMP00279,CH01,2530.31,13731.04,69,85.09,36.67,0.0043
MKT000000370,2023-07-16,CMP00139,CH03,211.41,2301.95,10,76.63,21.14,0.002
MKT000000373,2023-03-22,CMP00150,CH03,387.14,1695.38,11,83.71,35.19,0.0008
MKT000000376,2023-02-08,CMP00272,CH05,1505.68,11447.68,57,106.9,26.42,0.0168
MKT000000381,2023-08-01,CMP00101,CH05,5378.43,37990.93,166,103.82,32.4,0.0557
MKT000000382,2023-07-18,CMP00124,CH01,981.43,8105.1,23,59.58,42.67,0.0024
MKT000000389,2023-07-17,CMP00072,CH04,1074.15,3179.68,14,93.61,76.72,0.0015
MKT000000390,2023-04-04,CMP00108,CH01,1209.33,10134.94,33,90.0,36.65,0.003
MKT000000391,2023-11-12,CMP00029,CH01,1188.5,4129.21,12,106.23,99.04,0.0016
MKT000000395,2023-10-25,CMP00160,CH01,832.47,4453.89,26,68.39,32.02,0.0025
MKT000000397,2023-10-18,CMP00106,CH04,2145.29,6894.65,41,84.28,52.32,0.0042
MKT000000402,2023-08-03,CMP00117,CH02,562.5,805.63,6,104.02,93.75,0.0013
MKT000000406,2023-08-27,CMP00193,CH01,1753.59,6661.96,32,73.75,54.8,0.0021
MKT000000407,2023-07-06,CMP00004,CH05,3656.86,14503.93,54,79.43,67.72,0.0056
MKT000000413,2023-10-06,CMP00071,CH04,3034.26,10502.55,45,87.11,67.43,0.0028
MKT000000414,2023-02-02,CMP00170,CH02,524.22,6896.91,36,98.24,14.56,0.0097
MKT000000416,2023-11-19,CMP00045,CH05,6408.23,58775.05,260,79.19,24.65,0.029
MKT000000417,2023-11-17,CMP00129,CH04,1986.54,7546.29,32,91.14,62.08,0.0034
MKT000000426,2023-11-21,CMP00198,CH04,6329.08,21906.03,118,57.16,53.64,0.0235
MKT000000427,2023-07-21,CMP00204,CH04,660.27,2385.84,10,87.12,66.03,0.0017
MKT000000432,2023-11-02,CMP00196,CH03,354.9,2265.57,13,90.74,27.3,0.0017
MKT000000438,2023-07-16,CMP00024,CH04,518.41,666.92,2,125.7,259.2,0.0001
MKT000000442,2023-12-03,CMP00253,CH02,249.22,1462.65,4,68.49,62.31,0.0006
MKT000000450,2023-11-08,CMP00117,CH02,155.13,2171.55,9,82.85,17.24,0.0005
MKT000000452,2023-07-11,CMP00125,CH04,1426.79,6851.31,33,115.89,43.24,0.0019
MKT000000453,2023-03-08,CMP00138,CH04,753.79,1908.48,5,84.23,150.76,0.0012
MKT000000454,2023-01-12,CMP00239,CH04,3119.65,27961.19,87,77.3,35.86,0.0059
MKT000000456,2023-01-16,CMP00146,CH01,545.04,3709.37,15,83.52,36.34,0.0017
MKT000000457,2023-07-22,CMP00211,CH01,799.45,6720.63,41,76.55,19.5,0.0078
MKT000000459,2023-12-11,CMP00015,CH02,2361.3,51303.95,260,95.39,9.08,0.0157
MKT000000464,2023-05-25,CMP00048,CH06,310.97,1403.78,8,98.12,38.87,0.0005
MKT000000470,2023-04-17,CMP00081,CH03,229.24,1204.39,6,104.29,38.21,0.0012
MKT000000474,2023-10-25,CMP00072,CH04,2026.64,6134.37,23,82.52,88.11,0.0041
MKT000000476,2023-10-08,CMP00271,CH03,989.88,9894.88,72,40.99,13.75,0.0142
MKT000000478,2023-04-10,CMP00060,CH02,149.53,2023.38,4,122.3,37.38,0.0006
MKT000000479,2023-04-25,CMP00069,CH03,860.44,10577.23,71,97.71,12.12,0.0236
MKT000000481,2023-12-13,CMP00019,CH03,248.87,1404.03,8,60.62,31.11,0.0013
MKT000000483,2023-01-04,CMP00014,CH03,80.0,695.17,4,107.11,20.0,0.0003
MKT000000492,2023-03-05,CMP00227,CH05,2327.76,8228.09,42,68.79,55.42,0.0095
MKT000000498,2023-05-20,CMP00201,CH02,98.05,1153.47,3,94.11,32.68,0.0005
MKT000000499,2023-03-05,CMP00163,CH04,598.37,4088.72,12,90.24,49.86,0.0017
MKT000000501,2023-05-13,CMP00139,CH03,313.32,3182.95,19,110.61,16.49,0.0019
MKT000000502,2023-10-27,CMP00077,CH01,1269.94,8059.73,28,83.35,45.35,0.0041
MKT000000509,2023-01-07,CMP00067,CH05,1038.16,9569.31,47,102.87,22.09,0.0038
MKT000000514,2023-08-12,CMP00043,CH01,1152.77,2984.67,17,89.06,67.81,0.0017
MKT000000526,2023-03-30,CMP00137,CH03,618.87,5490.83,52,79.64,11.9,0.0235
MKT000000530,2023-01-01,CMP00261,CH03,373.57,4463.97,17,86.87,21.97,0.0018
MKT000000538,2023-07-11,CMP00092,CH02,356.66,4670.85,20,93.26,17.83,0.0037
MKT000000539,2023-04-06,CMP00136,CH01,1663.45,5397.28,18,48.85,92.41,0.0011
MKT000000543,2023-11-14,CMP00141,CH05,1284.9,8117.1,38,80.22,33.81,0.0026
MKT000000550,2023-11-26,CMP00157,CH01,4244.71,14845.53,68,90.17,62.42,0.0047
MKT000000555,2023-02-19,CMP00214,CH03,104.74,614.26,7,114.4,14.96,0.0023
MKT000000567,2023-12-03,CMP00215,CH04,2455.75,6658.85,29,97.77,84.68,0.0019
MKT000000574,2023-11-06,CMP00147,CH01,3953.03,14809.35,94,101.73,42.05,0.0118
MKT000000578,2023-01-11,CMP00122,CH06,2446.87,11448.85,40,85.65,61.17,0.0266
MKT000000581,2023-07-14,CMP00011,CH02,80.0,672.94,4,78.31,20.0,0.0005
MKT000000583,2023-10-04,CMP00009,CH04,1303.51,7187.88,24,67.47,54.31,0.0051
MKT000000586,2023-03-01,CMP00101,CH05,1647.13,7352.17,28,62.28,58.83,0.0016
MKT000000587,2023-12-03,CMP00026,CH02,135.34,1815.75,6,102.39,22.56,0.0007
MKT000000590,2023-06-21,CMP00254,CH01,173.25,423.1,2,58.46,86.63,0.0003
MKT000000592,2023-06-18,CMP00218,CH01,2776.93,17585.27,64,107.47,43.39,0.0325
MKT000000594,2023-04-14,CMP00163,CH04,953.76,1554.71,5,64.79,190.75,0.0007
MKT000000595,2023-12-29,CMP00088,CH01,2865.58,9592.98,44,123.83,65.13,0.0036
MKT000000601,2023-11-03,CMP00203,CH02,539.74,4451.03,18,68.87,29.99,0.001
MKT000000602,2023-06-28,CMP00041,CH06,750.33,1865.26,10,77.46,75.03,0.0022
MKT000000608,2023-03-03,CMP00124,CH01,932.28,3921.13,19,75.95,49.07,0.0054
MKT000000609,2023-04-11,CMP00091,CH06,792.35,1154.59,9,78.96,88.04,0.0012
MKT000000615,2023-12-07,CMP00123,CH06,1583.27,3800.97,12,67.6,131.94,0.0009
MKT000000617,2023-05-31,CMP00043,CH01,360.9,3223.11,22,79.31,16.4,0.0017
MKT000000619,2023-12-13,CMP00050,CH01,436.35,1780.74,6,90.42,72.73,0.0009
MKT000000622,2023-11-21,CMP00245,CH01,729.44,5293.0,26,97.17,28.06,0.0235
MKT000000623,2023-11-17,CMP00141,CH05,5927.45,30075.64,156,127.12,38.0,0.0112
MKT000000626,2023-11-24,CMP00060,CH02,228.7,3537.94,13,104.86,17.59,0.0009
MKT000000632,2023-04-06,CMP00161,CH01,850.12,4095.77,21,55.58,40.48,0.0017
MKT000000645,2023-07-23,CMP00048,CH06,689.24,2267.73,3,47.43,229.75,0.0005
MKT000000648,2023-12-19,CMP00178,CH01,985.18,4750.98,24,85.97,41.05,0.0021
MKT000000651,2023-01-21,CMP00225,CH02,92.7,305.17,3,77.39,30.9,0.0002
MKT000000657,2023-10-31,CMP00248,CH01,1270.11,8564.67,39,87.22,32.57,0.0161
MKT000000658,2023-02-02,CMP00008,CH01,729.97,4644.93,23,80.11,31.74,0.0024
MKT000000659,2023-12-26,CMP00149,CH01,716.05,5789.69,22,92.9,32.55,0.0091
MKT000000660,2023-11-09,CMP00165,CH01,4348.41,17132.24,60,84.55,72.47,0.0091
MKT000000661,2023-01-10,CMP00229,CH04,2101.78,14582.33,68,79.74,30.91,0.0047
MKT000000663,2023-05-06,CMP00162,CH01,6612.97,28984.41,126,87.56,52.48,0.0102
MKT000000665,2023-06-06,CMP00249,CH02,692.09,3773.56,8,93.29,86.51,0.0023
MKT000000668,2023-06-08,CMP00154,CH01,1296.72,10121.32,49,81.38,26.46,0.0468
MKT000000669,2023-08-22,CMP00197,CH03,347.37,2539.68,14,102.3,24.81,0.0036
MKT000000672,2023-04-28,CMP00146,CH01,1049.6,5508.23,24,99.15,43.73,0.0036
MKT000000673,2023-11-10,CMP00125,CH04,1566.32,4475.63,23,85.67,68.1,0.0064
MKT000000675,2023-09-22,CMP00252,CH04,1229.62,5428.61,28,119.83,43.92,0.0016
MKT000000681,2023-04-27,CMP00034,CH04,1671.07,3502.35,15,82.91,111.4,0.0013
MKT000000684,2023-06-10,CMP00047,CH05,1805.52,6753.63,39,69.41,46.3,0.0078
MKT000000686,2023-06-12,CMP00229,CH04,1736.62,4449.03,19,66.6,91.4,0.0011
MKT000000687,2023-07-23,CMP00228,CH01,479.56,3353.18,17,63.18,28.21,0.0106
MKT000000689,2023-12-12,CMP00194,CH05,2793.33,13311.64,46,110.52,60.72,0.0043
MKT000000690,2023-06-27,CMP00072,CH04,3689.65,10134.8,53,51.47,69.62,0.0072
MKT000000693,2023-07-27,CMP00191,CH01,1001.93,2907.12,19,92.82,52.73,0.0015
MKT000000695,2023-02-08,CMP00134,CH01,406.07,2423.07,10,64.92,40.61,0.008
MKT000000698,2023-09-16,CMP00116,CH04,3414.83,13183.03,49,78.74,69.69,0.0064
MKT000000702,2023-10-04,CMP00245,CH01,740.77,2415.49,7,115.25,105.82,0.0004
MKT000000708,2023-08-14,CMP00199,CH04,3207.48,42563.31,229,72.96,14.01,0.08
MKT000000710,2023-10-28,CMP00001,CH04,5959.93,28977.48,92,87.14,64.78,0.0083
MKT000000714,2023-12-07,CMP00233,CH01,3266.37,10743.51,54,70.18,60.49,0.0071
MKT000000721,2023-11-29,CMP00079,CH04,1933.5,3700.49,11,72.67,175.77,0.0015
MKT000000730,2023-11-17,CMP00207,CH01,1750.29,7610.19,31,72.32,56.46,0.0027
MKT000000733,2023-03-22,CMP00148,CH02,206.44,2474.59,13,62.98,15.88,0.0016
MKT000000740,2023-08-13,CMP00188,CH06,263.94,1111.96,6,81.96,43.99,0.0007
MKT000000741,2023-04-16,CMP00273,CH05,1326.68,2777.48,15,72.57,88.45,0.0025
MKT000000747,2023-08-02,CMP00218,CH01,1210.73,3665.25,15,105.99,80.72,0.0023
MKT000000748,2023-04-03,CMP00162,CH01,1256.06,5066.73,30,71.16,41.87,0.0033
MKT000000751,2023-11-09,CMP00139,CH03,787.06,4623.86,32,104.36,24.6,0.0056
MKT000000754,2023-05-17,CMP00050,CH01,1353.99,5602.47,28,84.86,48.36,0.0143
MKT000000757,2023-12-06,CMP00051,CH04,2961.15,11151.71,42,99.75,70.5,0.0031
MKT000000758,2023-05-12,CMP00199,CH04,644.19,1514.46,1,105.55,644.19,0.0001
MKT000000778,2023-04-15,CMP00248,CH01,2183.64,6305.88,17,100.59,128.45,0.0048
MKT000000779,2023-07-09,CMP00117,CH02,743.08,5546.17,25,73.7,29.72,0.0014
MKT000000780,2023-09-01,CMP00190,CH06,1815.02,7857.75,31,79.55,58.55,0.0019
MKT000000786,2023-04-01,CMP00082,CH06,2074.24,7867.29,26,63.3,79.78,0.0111
MKT000000789,2023-11-10,CMP00150,CH03,722.85,5669.94,44,50.44,16.43,0.0081
MKT000000798,2023-09-04,CMP00005,CH06,1319.74,4805.94,8,68.9,164.97,0.0005
MKT000000800,2023-04-21,CMP00267,CH05,310.36,2835.05,3,94.87,103.45,0.0004
MKT000000801,2023-02-12,CMP00051,CH04,262.77,1742.8,9,69.87,29.2,0.0014
MKT000000802,2023-01-27,CMP00124,CH01,1732.68,9943.85,40,84.1,43.32,0.0038
MKT000000808,2023-04-24,CMP00150,CH03,484.19,6420.0,32,84.45,15.13,0.0169
MKT000000814,2023-06-26,CMP00275,CH05,1293.59,4537.22,13,72.2,99.51,0.0007
MKT000000815,2023-08-02,CMP00231,CH01,2169.44,12025.64,66,82.26,32.87,0.0041
MKT000000818,2023-04-30,CMP00275,CH05,1935.27,7073.2,30,92.38,64.51,0.0059
MKT000000819,2023-05-11,CMP00146,CH01,915.52,3660.08,15,88.53,61.03,0.001
MKT000000820,2023-03-27,CMP00167,CH03,454.18,4322.0,28,95.55,16.22,0.0021
MKT000000821,2023-08-28,CMP00194,CH05,1839.3,13474.1,78,70.64,23.58,0.0084
MKT000000824,2023-06-22,CMP00043,CH01,863.71,1903.5,11,49.09,78.52,0.0009
MKT000000831,2023-01-13,CMP00099,CH02,153.55,1072.03,6,97.94,25.59,0.0009
MKT000000833,2023-09-22,CMP00279,CH01,329.3,1796.96,16,104.41,20.58,0.002
MKT000000843,2023-02-20,CMP00178,CH01,1553.82,14552.58,88,74.3,17.66,0.0077
MKT000000847,2023-01-18,CMP00034,CH04,1860.52,10818.59,37,78.31,50.28,0.0022
MKT000000852,2023-11-15,CMP00099,CH02,200.73,1380.57,7,60.72,28.68,0.0005
MKT000000853,2023-10-10,CMP00065,CH03,513.31,2558.12,24,107.69,21.39,0.0043
MKT000000855,2023-06-30,CMP00206,CH04,302.1,679.83,1,59.75,302.1,0.0002
MKT000000862,2023-03-12,CMP00139,CH03,340.86,2238.31,18,72.86,18.94,0.0047
MKT000000868,2023-09-10,CMP00096,CH03,133.0,465.99,3,95.71,44.33,0.0002
MKT000000875,2023-11-05,CMP00080,CH01,1977.17,6056.87,30,107.33,65.91,0.0024
MKT000000878,2023-07-16,CMP00274,CH01,1476.8,4370.87,21,82.22,70.32,0.0017
MKT000000879,2023-09-12,CMP00069,CH03,773.69,6314.19,44,81.15,17.58,0.0032
MKT000000881,2023-10-15,CMP00224,CH02,192.04,2104.52,10,91.2,19.2,0.0045
MKT000000884,2023-07-23,CMP00049,CH01,2470.85,21724.73,89,78.02,27.76,0.0281
MKT000000886,2023-03-07,CMP00030,CH02,238.38,4417.3,26,104.71,9.17,0.0034
MKT000000892,2023-08-21,CMP00193,CH01,3581.45,13135.6,60,85.59,59.69,0.0048
MKT000000894,2023-08-12,CMP00119,CH01,5332.15,17055.27,101,88.45,52.79,0.0117
MKT000000895,2023-03-03,CMP00030,CH02,284.83,1703.64,4,58.95,71.21,0.0006
MKT000000896,2023-06-17,CMP00059,CH05,781.78,2038.21,10,77.74,78.18,0.0007
MKT000000898,2023-04-24,CMP00257,CH06,991.44,4505.66,15,49.87,66.1,0.001
MKT000000902,2023-02-23,CMP00047,CH05,1703.19,8004.06,39,103.48,43.67,0.0044
MKT000000907,2023-03-10,CMP00213,CH02,174.5,681.31,1,79.71,174.5,0.0002
MKT000000910,2023-04-24,CMP00278,CH01,576.9,851.97,2,35.25,288.45,0.0002
MKT000000925,2023-05-22,CMP00213,CH02,189.12,957.0,8,74.19,23.64,0.0005
MKT000000934,2023-03-26,CMP00227,CH05,1238.9,13052.47,64,69.16,19.36,0.0074
MKT000000940,2023-06-23,CMP00091,CH06,1062.42,467.64,5,72.15,212.48,0.0004
MKT000000945,2023-10-08,CMP00117,CH02,372.25,2682.36,10,83.9,37.22,0.0015
MKT000000956,2023-04-25,CMP00228,CH01,1464.99,10616.41,55,111.44,26.64,0.0051
MKT000000957,2023-12-04,CMP00043,CH01,1376.7,8998.06,50,103.2,27.53,0.0194
MKT000000959,2023-07-17,CMP00012,CH04,1387.92,8632.8,44,73.18,31.54,0.0032
MKT000000966,2023-01-05,CMP00058,CH05,1583.23,5535.21,23,74.27,68.84,0.0039
MKT000000968,2023-04-07,CMP00154,CH01,538.8,1714.03,3,100.73,179.6,0.0002
MKT000000969,2023-04-30,CMP00008,CH01,1544.84,3999.61,17,68.43,90.87,0.0025
MKT000000970,2023-03-04,CMP00267,CH05,488.59,3635.81,12,79.82,40.72,0.0084
MKT000000977,2023-07-26,CMP00191,CH01,1592.83,2920.17,17,81.82,93.7,0.003
MKT000000981,2023-01-17,CMP00106,CH04,3490.34,2724.09,13,57.76,268.49,0.0013
MKT000000986,2023-10-25,CMP00004,CH05,1767.84,15626.69,65,91.39,27.2,0.0039
MKT000000991,2023-09-25,CMP00141,CH05,310.59,2437.01,9,66.52,34.51,0.0023
MKT000000996,2023-09-01,CMP00029,CH01,1341.08,7625.33,49,67.76,27.37,0.0034
MKT000000998,2023-12-31,CMP00277,CH01,3086.91,18510.65,76,88.0,40.62,0.0054
MKT000001000,2023-05-21,CMP00100,CH01,1097.69,7626.71,26,69.47,42.22,0.0022
MKT000001006,2023-08-27,CMP00121,CH05,509.07,3220.63,12,100.64,42.42,0.0008
MKT000001008,2023-11-11,CMP00077,CH01,1868.62,12867.2,92,80.01,20.31,0.0212
MKT000001009,2023-07-22,CMP00002,CH04,1357.15,3307.72,14,80.62,96.94,0.0008
MKT000001010,2023-04-13,CMP00105,CH01,297.79,1475.57,6,105.8,49.63,0.0014
MKT000001019,2023-10-18,CMP00193,CH01,893.69,5216.42,28,65.99,31.92,0.0068
MKT000001023,2023-08-03,CMP00266,CH01,997.5,5441.49,26,70.49,38.37,0.0036
MKT000001031,2023-08-31,CMP00181,CH01,914.56,2597.76,5,75.63,182.91,0.0005
MKT000001036,2023-11-10,CMP00256,CH06,3877.02,17532.5,59,85.96,65.71,0.0084
MKT000001043,2023-11-18,CMP00199,CH04,4828.83,34093.06,138,59.43,34.99,0.008
MKT000001050,2023-11-05,CMP00006,CH04,1933.05,9933.38,30,117.89,64.44,0.0024
MKT000001053,2023-11-01,CMP00045,CH05,2499.39,16859.38,63,102.43,39.67,0.0036
MKT000001058,2023-03-05,CMP00195,CH05,1039.86,12824.37,51,87.59,20.39,0.0033
MKT000001061,2023-01-20,CMP00259,CH02,158.33,1373.82,5,82.74,31.67,0.001
MKT000001066,2023-05-15,CMP00185,CH02,246.01,1519.4,4,120.09,61.5,0.0014
MKT000001069,2023-10-30,CMP00030,CH02,80.0,1093.92,3,69.21,26.67,0.0002
MKT000001072,2023-03-27,CMP00036,CH03,360.36,3562.19,17,98.54,21.2,0.0014
MKT000001076,2023-06-06,CMP00154,CH01,1530.0,6598.6,30,108.11,51.0,0.004
MKT000001081,2023-10-22,CMP00179,CH02,267.23,3970.23,12,83.48,22.27,0.0042
MKT000001084,2023-07-10,CMP00075,CH01,657.93,5232.52,27,86.76,24.37,0.0043
MKT000001087,2023-07-30,CMP00226,CH02,196.22,701.86,2,51.23,98.11,0.0001
MKT000001089,2023-12-25,CMP00137,CH03,1038.37,2371.66,20,96.93,51.92,0.0022
MKT000001091,2023-11-27,CMP00092,CH02,104.34,1323.15,5,85.46,20.87,0.0007
MKT000001097,2023-05-14,CMP00112,CH01,539.79,2913.93,17,82.67,31.75,0.0015
MKT000001098,2023-07-29,CMP00093,CH06,699.15,2415.12,16,77.84,43.7,0.0043
