CustomerID,CustomerName,Gender,Age,Country,City,Segment,SignupDate,MarketingOptIn,LoyaltyTier
CUS000025,Customer 25,Female,43,Germany,Berlin,VIP,2024-05-10,YES,Gold
CUS000026,Customer 26,male,19,Germany,Frankfurt,Returning,2020-02-29,No, Silver
CUS000027,Customer 27 ,FEMALE,33,belgium,GHENT,new,2020-03-29,Yes,None
CUS000028,Customer 28 , Male,74,Spain,BILBAO,returning,2023-03-16,No,Gold
CUS000029,Customer 29,MALE,58,Germany,BERLIN,Returning,2021-11-22,Yes,None
CUS000030,Customer 30,MALE,62,Belgium,BRUGES,New,2024-06-23,NO,SILVER
CUS000031,Customer 31,Male,37,NL,Utrecht,returning,2024-08-07,Yes,Silver 
CUS000032,Customer 32,Male,66,Austria,Salzburg,VIP,2023-08-17,Yes,None
CUS000033,Customer 33,Female,22,Belgium,Brussels,returning,2024-01-09,Yes,NONE
CUS000034,CUSTOMER 34,male,50,España,Barcelona,new,2021-02-18,No,Gold
CUS000035,Customer 35,Female,64,italy,Naples ,new,2021-04-24, Yes,Gold
CUS000036,Customer 36,MALE,26,Italy,Turin,new,2021-09-24,No,platinum
CUS000037, Customer 37,Female,25,Spain ,Seville,returning,2021-06-27,Yes,Silver
CUS000038, Customer 38,Male,45,IT,Milan,New ,2020-04-20,Yes,Silver
CUS000039,Customer 39,Male,65,Italy,Milan,Returning,2019-06-09,Yes,NONE
CUS000040,Customer 40,Female ,47, Spain,BILBAO,New,2023-10-10,Yes,Silver
CUS000041,Customer 41,Female,64,GERMANY,BERLIN,Returning,2024-04-28,Yes,None
CUS000042,Customer 42,Male,47,Germany,Berlin,VIP,2019-08-28,Yes,None
CUS000043,Customer 43 ,FEMALE,63,France,MARSEILLE,returning,2023-02-09,YES,Gold
CUS000044,Customer 44,FEMALE,49,France,Lyon,returning,2018-08-15, Yes,Silver
CUS000045,Customer 45,Female,35,Italy,Bologna ,VIP,2023-03-29, Yes,None
CUS000046,Customer 46,Female,31,Italy,Milan,New,2022-06-03,No,SILVER
CUS000047,customer 47,FEMALE,59,Netherlands,The Hague,Returning,2023-04-10,Yes,None
CUS000048,Customer 48,Male,42,France, Nice,Returning,2022-12-22,No,None
CUS000049,CUSTOMER 49,Male,74,France,Paris,VIP,2022-06-07,No,Gold
CUS000050,customer 50,Male,22,FR,Paris,New,2020-05-28,Yes,None
CUS000051,Customer 51,Female,32,Spain,Bilbao,vip,2022-02-24,Yes,gold
CUS000052,Customer 52,Male,49,austria,Graz,Returning,2020-12-01,No,Silver
CUS000053,Customer 53,Female,21,germany,Berlin, Returning,2020-05-27,Yes,silver
CUS000054,Customer 54,female,36,France,Nice,New,2018-01-20,Yes,Silver
CUS000055,Customer 55,female,32,Netherlands,Eindhoven ,New,2018-08-15,Yes,None
CUS000056,customer 56,MALE,27,Deutschland,Munich ,New,2019-11-26,Yes,Silver
CUS000057,Customer 57,Female,67,République française,MARSEILLE,New ,2021-12-01,No,Silver
CUS000058,Customer 58,Male,63,France,paris,New,2021-12-23,Yes,None
CUS000059,CUSTOMER 59,Female,60,Germany,frankfurt,New,2024-10-04,Yes,SILVER
CUS000060,Customer 60,Male,20,Netherlands,Amsterdam,returning,2018-02-12,Yes,Platinum
CUS000061,Customer 61,Female,23,France,MARSEILLE,Returning,2023-07-28,Yes,None
CUS000062,Customer 62,Male,61,Italy,Naples,Returning,2023-10-20,Yes,Platinum
CUS000063,CUSTOMER 63,male,27,Austria,VIENNA,VIP,2020-08-04,YES,Platinum
CUS000064,Customer 64,Female,39,Germany,Frankfurt,New,2024-11-01,Yes,None
CUS000065,Customer 65,Female,63,Netherlands,Eindhoven,New,2020-11-28,No,None
CUS000066,customer 66,Female,41,France,Marseille,new,2024-06-13,YES,Platinum 
CUS000067, Customer 67,Female,72,BELGIUM,Brussels,VIP,2022-03-31,No,Silver
CUS000068,Customer 68,Male,41,Italy,Milan,New ,2019-05-20,Yes,none
CUS000069,Customer 69,Female,34,Austria,Vienna,New,2018-08-13,No,None
CUS000070,Customer 70,Female,67,italy,Bologna,NEW,2018-07-23,No,SILVER
CUS000071,CUSTOMER 71,MALE,52,Germany,Cologne,New,2021-05-14,No,Silver
CUS000072,Customer 72,Male,20,Germany,Hamburg,VIP,2019-04-24,YES,None
CUS000073,Customer 73,MALE,49,BE,Ghent,New,2020-08-10,yes,None
CUS000074,CUSTOMER 74,Male,62,Belgium,Bruges,New,2018-08-19,No,Silver
CUS000075,Customer 75,Male,52,SPAIN,Barcelona,VIP,2022-06-19,Yes,None 
CUS000076,Customer 76,Male,40,Belgique,Brussels,NEW,2021-01-27,Yes ,Gold
CUS000077,Customer 77,Male ,63,Italy,ROME,new,2019-10-22,NO,Gold
CUS000078,Customer 78 ,female,64,République française,Paris,RETURNING,2019-12-19,Yes,Silver
CUS000079,customer 79,FEMALE,40,Spain,Bilbao,New,2023-10-28,No,Gold
CUS000080,Customer 80,Female,75,Spain,BILBAO,returning,2019-05-23,Yes,None
CUS000081,Customer 81,Female,33,IT,Naples,Returning,2022-10-04,Yes,Silver
CUS000082,customer 82,Male,49,France,nice,New,2022-12-20,No,Platinum
CUS000083, Customer 83,Male,18,France,Lyon ,New,2022-06-24,No,Gold
CUS000084,CUSTOMER 84,MALE,66,germany,Hamburg,VIP,2021-04-23,Yes ,None
CUS000085,Customer 85 ,Female,40,Italy, Naples,New,2023-09-21,Yes,None 
CUS000086,Customer 86,FEMALE,59,AT,Graz,New,2019-12-14,No ,None
CUS000087,Customer 87,Male,61,France,PARIS,New,2018-05-29,No,None
CUS000088,Customer 88,Male,64,DE ,HAMBURG,Returning,2024-10-08,Yes, Silver
CUS000089,Customer 89,female,46,France,Toulouse,New,2024-03-29,Yes,Silver
CUS000090,customer 90,Male,75,Italy,ROME,New,2020-10-15,No,Platinum
CUS000091,Customer 91,Male,43,Belgium,Bruges,New ,2018-06-27,Yes,Silver
CUS000092,CUSTOMER 92,Male,56,Belgium,Bruges,New,2022-10-02,Yes,Gold
CUS000093,Customer 93,Female,35,France,nice,Returning,2019-04-24,Yes,None
CUS000094,Customer 94 ,Male,75,Italy,Milan,New,2024-11-14,No,Silver 
CUS000095,Customer 95,Male,61,Austria,Linz,Returning,2021-03-05,NO,None
CUS000096,Customer 96,Female,50,FRANCE, Lyon,New,2023-10-20,No,None
CUS000097,customer 97,Male,35,Netherlands,Utrecht,New,2021-09-29,Yes,None
CUS000098,Customer 98,Male,73,Italy,Naples,new,2018-12-23,No ,None
CUS000099,Customer 99,Female,49,DE,Berlin,New,2020-05-23,yes,None
CUS000100,Customer 100 ,Female ,24, Netherlands,Eindhoven,Returning,2023-02-05,YES,Gold
CUS000101,Customer 101,Female,47,Spain,Seville , New,2021-07-27,Yes,Silver
CUS000102,Customer 102,Male,71,Spain,Barcelona,New,2019-04-20,YES,Silver
CUS000103,Customer 103,Male,67,fr,Lyon,VIP,2018-01-18,No,gold
CUS000104,Customer 104,Female,42,Belgium,Ghent,RETURNING,2022-05-09,Yes,Silver
CUS000105, Customer 105,MALE,42,Italy,Naples,Returning,2023-02-12,Yes,Silver
CUS000106,Customer 106 ,Female,62,Italia,Rome,RETURNING,2020-01-31,No,Gold
CUS000107,Customer 107,Male,59,DE ,Frankfurt,Returning,2020-01-30,Yes ,None
CUS000108,Customer 108,Male,69,Belgium,ANTWERP,New,2021-01-07,Yes,Silver
CUS000109, Customer 109,Male,59,France,Marseille,VIP,2022-02-11,Yes,None
CUS000110,Customer 110,Male,65,DE,Hamburg,Returning,2024-02-25,NO,Silver
CUS000111,Customer 111,Male,58,BELGIUM,Bruges,New,2022-01-14,No, None
CUS000112,Customer 112,Female,25,netherlands,Amsterdam,new,2022-07-27,No,None
CUS000113,Customer 113,Female,37,Germany,Berlin,Returning,2022-12-20,Yes,None
CUS000114,Customer 114,Male,42,France,Toulouse,VIP,2024-08-25,Yes,None
CUS000115,Customer 115,Male,62,Germany ,Cologne,new,2024-07-14,No,SILVER
CUS000116,Customer 116,Male,30,Italy,Bologna, VIP,2024-08-16,YES,silver
CUS000117,Customer 117,Female ,50,NL,The Hague,New ,2024-03-03,Yes,None
CUS000118,Customer 118,Male,30,France,Paris,new,2020-02-14,No,None
CUS000119,Customer 119,Male,28,Italy ,Turin,VIP,2018-02-19,No,Silver
CUS000120,Customer 120,Female,57,France,Lyon,VIP,2023-08-01,Yes,SILVER
CUS000121,CUSTOMER 121,Male,42,ITALY,Naples,New,2022-08-31,No,None
CUS000122,Customer 122,Male,30,germany,Hamburg,Returning,2024-03-14,Yes,Silver
CUS000123,Customer 123,Male,33,FR, Marseille,Returning,2024-07-22,No,None
CUS000124,CUSTOMER 124,Female,31,IT,NAPLES,New,2024-03-12,YES,Silver
CUS000125,Customer 125,FEMALE,60,France,MARSEILLE,Returning,2024-07-21,No,Gold
CUS000126,Customer 126, Female,27,Spain,Madrid, New,2019-03-27,No ,Silver
CUS000127,Customer 127 ,Female,66,Spain,MADRID,NEW,2023-04-08,Yes,None 
CUS000128,Customer 128,Female ,32,Belgium,Brussels,returning,2020-07-09,Yes,Gold
CUS000129,Customer 129,Male,20,France,Paris,New,2019-03-14,yes,Silver
CUS000130,Customer 130,Male,29,Germany,Cologne,Returning,2019-03-02,Yes,None
CUS000131,Customer 131,female,67,France ,Toulouse,Returning,2022-03-24,No,Gold
CUS000132,Customer 132,Male,44,France,Lyon,Returning,2023-08-15,No,none
CUS000133,customer 133,Female,39,Netherlands,The Hague,NEW,2022-05-20,No,silver
CUS000134,customer 134,Female,62,Italy,BOLOGNA,New,2022-06-20,No,None
CUS000135,Customer 135,Male,48,France,Lyon,New,2024-11-16,No,None
CUS000136,Customer 136,Female,36,belgique, Ghent,New,2020-08-24,No,Silver
CUS000137,Customer 137,Female,32,Italy,Milan,new,2020-11-08,Yes,NONE
CUS000138,Customer 138,FEMALE,71,Germany,Berlin,New,2019-11-07,Yes,None 
CUS000139,Customer 139,Female,39,DE,COLOGNE,New,2021-04-04,Yes,Gold
CUS000140,Customer 140,female,20,FR,paris,Returning,2024-09-05,No,Silver 
CUS000141,Customer 141,Female,28,IT,Rome,New,2024-07-20,yes,silver
CUS000142,Customer 142,Female,39,France,Toulouse,Returning,2024-10-01,Yes,None
CUS000143,Customer 143,Male,38,Italy,Naples,New,2024-01-23,NO,None
CUS000144,Customer 144, Male,29,Netherlands,Amsterdam,VIP,2021-01-12,Yes ,Platinum
CUS000145,Customer 145,Female,60,SPAIN,Seville,New,2021-06-03,Yes,None
CUS000146,CUSTOMER 146,Male,59,es,Valencia,RETURNING,2022-02-06,Yes,silver
CUS000147,Customer 147,Male,54,spain,Barcelona,new,2021-12-08,Yes,None
CUS000148,Customer 148,Male,28,France,Paris,New,2020-10-28,NO,silver
CUS000149,CUSTOMER 149,Male,44,France, Paris,Returning,2019-01-10,No,Silver
CUS000150,Customer 150,Female,52,belgium,Antwerp ,new,2021-02-25,No,Silver
CUS000151,Customer 151,male,61,netherlands,The Hague,Returning,2022-02-10,NO,Platinum
CUS000152,Customer 152,Female,62,DE,cologne,Returning,2022-08-31,No,Silver
CUS000153,Customer 153,Female,45,Italy,Rome,VIP,2019-08-04,Yes,Gold
CUS000154,Customer 154,Male,53,Spain,BILBAO,NEW,2019-01-20,no,Silver
CUS000155,Customer 155 ,Male,28,Austria,Innsbruck, VIP,2021-07-09,Yes, Silver
CUS000156,Customer 156,MALE,69,belgium,Ghent,Returning,2024-03-20,Yes,None
CUS000157, Customer 157,Female,74,Netherlands,Utrecht,New,2020-11-01,YES,None
CUS000158,Customer 158,Male,44, France,Lyon,New ,2020-01-10, No,Gold
CUS000159,Customer 159,Male,49,Österreich,Linz ,Returning,2021-06-25,Yes,GOLD
CUS000160,Customer 160,Female,75,Germany ,Cologne,New,2022-01-03,Yes,Silver
CUS000161,Customer 161,Female,36,France ,Paris,New,2019-08-11,No,none
CUS000162,customer 162,Female,68,France,Toulouse,Returning ,2018-02-15,Yes,NONE
CUS000163,Customer 163,Female,35,Spain,Barcelona,new,2023-04-04, Yes,None
CUS000164,Customer 164,Male,32,Deutschland,Frankfurt,Returning,2022-01-28,Yes,gold
CUS000165,customer 165,Male,38,ITALY,Bologna,NEW,2022-06-27,no,Gold
CUS000166,Customer 166, Male,75,Netherlands,ROTTERDAM,VIP,2024-10-14,Yes,None
CUS000167,Customer 167,Female,28,France,Toulouse,Returning,2019-02-25,YES,Gold
CUS000168,Customer 168,male,35,Italy,Turin,New ,2018-01-04,yes,None
CUS000169,Customer 169,Male,47,République française,paris,VIP,2019-12-11,No,None
CUS000170,Customer 170,Female,63,France,Toulouse,New,2024-05-07,No,None
CUS000171,Customer 171,Female ,49,NL,Amsterdam,New,2019-10-17,No,None
CUS000172,customer 172,female,72,Germany,Hamburg,Returning,2019-04-05,NO,NONE
CUS000173,Customer 173,Male,22,FR,Toulouse,New,2022-07-14,Yes,None
CUS000174,Customer 174,MALE,39,France,Nice,NEW,2019-04-29,Yes,none
CUS000175,customer 175,Female,72,AUSTRIA,Salzburg,New,2019-09-05,No,Silver
CUS000176,Customer 176,Female,41,ES,Madrid,NEW,2020-06-30,Yes,Silver
CUS000177,Customer 177,MALE,62,Italy,milan,VIP,2019-06-20,Yes,Gold
CUS000178,Customer 178 ,Male,39,Netherlands,ROTTERDAM,RETURNING,2019-12-21,No,Silver
CUS000179,Customer 179,Male,26,FR,Paris,New,2022-11-13,Yes,Gold
CUS000180,CUSTOMER 180,Male,45,Belgium,Antwerp,Returning,2024-06-06,No,Silver
CUS000181,Customer 181,Female,52,Belgium,Leuven,VIP,2019-04-23,No,Gold
CUS000182,Customer 182,Female,73,Netherlands, The Hague,NEW,2021-07-02,Yes ,Platinum
CUS000183,CUSTOMER 183,MALE,71, Germany,Munich,Returning,2021-03-05,Yes,silver
CUS000184, Customer 184,Male,54,Deutschland,hamburg, New,2021-04-07,Yes,None
CUS000185,Customer 185,Male,33,FRANCE,Toulouse,Returning,2018-10-19,No,None
CUS000186, Customer 186, Female,67,Italy,Rome,new,2023-08-25,Yes,SILVER
CUS000187,Customer 187,Female,67,Germany,Munich, Returning,2022-07-22,yes,None
CUS000188, Customer 188,FEMALE,42, Germany,Berlin,New,2018-03-08,No,Silver 
CUS000189,CUSTOMER 189,Female,70,Spain,Barcelona,VIP,2019-04-26,Yes,NONE
CUS000190,CUSTOMER 190,male,43,Italy,Rome,New,2023-11-05,YES,Gold
CUS000191,Customer 191,Male,58,ES,Barcelona,New,2023-04-22,Yes,None
CUS000192,Customer 192,Male,28,Spain,Seville,VIP,2023-10-03,No,None
CUS000193,Customer 193,Male,20,Belgium,Leuven,Returning,2019-11-16,yes,None
CUS000194,Customer 194 ,Male ,40,SPAIN,BILBAO,New,2019-06-24,No,Silver
CUS000195,Customer 195,Male,61,Italy,Milan,VIP,2022-07-15,NO,None
CUS000196,Customer 196, Male,71,Spain,Bilbao,vip,2018-06-26,Yes,Gold
CUS000197,customer 197,Male,21,Italy,Rome,New,2022-02-09,Yes,gold
CUS000198,customer 198,Female,57,ES,Madrid,New,2021-09-01,No,NONE
CUS000199,customer 199,Female,41,Netherlands,Utrecht,Returning,2018-06-16,Yes,Gold
CUS000200,Customer 200,Male,73,Belgium,Bruges,Returning,2022-01-21, No,Silver
CUS000201,customer 201,Female,44,Germany,cologne,New,2019-07-03,No,None
CUS000202,Customer 202,Male,29,Italy,Turin,New,2023-11-13,No ,None
CUS000203,Customer 203,male,67,Italia,Naples,Returning,2019-02-17,Yes,Platinum 
CUS000204,Customer 204,Female,57,Austria,VIENNA,Returning,2018-02-01,Yes,None
CUS000205,Customer 205,Female,50,ITALY,Rome, New,2023-08-01,Yes,None
CUS000206,Customer 206,Female,34,Spain,Bilbao,new,2018-01-25,No ,Silver
CUS000207,Customer 207,Female,37,Netherlands, Eindhoven,New,2024-05-29,YES,None
CUS000208,Customer 208,MALE,74,République française,Lyon,New,2023-05-23,No,silver
CUS000209,Customer 209,Male,56,España,Madrid,New,2020-10-11,Yes,Silver
CUS000210,Customer 210,MALE,46,Italy,Bologna,New ,2022-08-26,No,None 
CUS000211,Customer 211,FEMALE,36,Spain,Barcelona,Returning,2024-01-26,Yes,SILVER
CUS000212,CUSTOMER 212,Female,64,Spain,Valencia,VIP,2022-01-20,YES,None
CUS000213,Customer 213, Female,19,Italy,Bologna,New,2022-10-23, Yes,None
CUS000214,Customer 214,Female,21,österreich,Innsbruck,New,2018-09-11,No,Gold
CUS000215,CUSTOMER 215,Male,69,ITALY,Rome,Returning,2021-04-14,YES,Gold
CUS000216,CUSTOMER 216,Male,27,Belgique,Antwerp,Returning,2020-07-12,NO,Silver
CUS000217,Customer 217,female,38,ES,Seville,New,2020-02-23,Yes,None
CUS000218,Customer 218,female,57,Belgium,Bruges,New,2024-11-07, Yes,None
CUS000219,Customer 219,Male,73,ITALY,Naples,New,2021-06-06,No,None
CUS000220,Customer 220,Male,25,DE,Berlin ,New,2020-01-12,Yes,Silver
CUS000221,Customer 221,Male,28,Belgium,Leuven,Returning,2019-05-31,No,none
CUS000222,Customer 222,Female,23,Netherlands,The Hague,NEW,2023-05-27,Yes,Silver
CUS000223,Customer 223,Male,34,Belgium,Antwerp,NEW,2024-10-20,No,Silver
CUS000224,Customer 224,Male,33,Spain,seville,Returning,2020-05-24,Yes,None
CUS000225,CUSTOMER 225,Female,19,France,Marseille,VIP,2020-09-10,Yes,none
CUS000226,Customer 226,Male,34,Spain,Valencia,Returning,2020-10-31,Yes,Silver
CUS000227,CUSTOMER 227,Female ,68,Belgium, Ghent,New,2020-03-13,Yes,None
CUS000228,Customer 228,female,24,Germany,Berlin,New,2018-09-03,Yes,Silver
CUS000229, Customer 229,Female,42,Holland,The Hague,VIP,2019-03-02,Yes,Gold
CUS000230,Customer 230,Female,56,Netherlands,Utrecht,Returning,2023-01-05,Yes,silver
CUS000231,CUSTOMER 231,Male,60,France,Lyon,New,2020-12-08,NO,None
CUS000232,CUSTOMER 232,Male,69,Spain,Barcelona,Returning,2022-04-07,Yes,None
CUS000233,Customer 233,Female,70,SPAIN,Bilbao,New,2019-04-12,No,Gold
CUS000234,Customer 234,Male,53,Italy,TURIN,New ,2023-07-26,Yes,Silver
CUS000235,Customer 235,Female,30,GERMANY,Cologne,New,2018-06-19,Yes,None
CUS000236,Customer 236,Male,58,Italy,Naples,Returning,2018-09-06,Yes,None
CUS000237,Customer 237,Female,45,Italy,Turin ,Returning,2019-04-02,Yes,None
CUS000238,Customer 238,Female,26,Italy,Milan,New,2019-02-24,Yes,Gold
CUS000239,Customer 239,Female,71,Netherlands,THE HAGUE,New,2022-04-23,Yes,Gold 
CUS000240,Customer 240,MALE,58,NL,rotterdam,New,2021-01-24,no,Silver
CUS000241,Customer 241,Male,66,RÉPUBLIQUE FRANÇAISE,Marseille,VIP,2020-10-31,No,None
CUS000242,Customer 242,Male,63,Netherlands,Rotterdam,New ,2023-11-25,Yes,Silver
CUS000243,Customer 243,Female,42,España,Bilbao,Returning,2019-03-26,yes,None
CUS000244, Customer 244,Male ,60,BE,Antwerp,returning,2024-10-20,Yes,Silver
CUS000245,Customer 245,Male,68,SPAIN,SEVILLE,Returning,2018-07-06,Yes,None
CUS000246,Customer 246, Male,51,España,Seville,New,2023-09-03,YES,SILVER
CUS000247,Customer 247,Male,37,Belgium,Bruges,New ,2018-11-09,Yes,Silver 
CUS000248,Customer 248,Female,57,Italy,Milan,New,2021-02-15,Yes,None
CUS000249,Customer 249, Female,23,Italy,Milan,New,2018-11-07,Yes,Silver
CUS000250,CUSTOMER 250,Female,49,Belgium,Antwerp,RETURNING,2023-06-23,Yes,None
CUS000251,customer 251,Male,61,IT,Turin,New,2022-06-23,yes,platinum
CUS000252,Customer 252,male,31,BE,Ghent,New,2019-06-26,Yes,Gold
CUS000253,Customer 253,Male,70,Spain,Seville,VIP,2024-04-17,Yes, Gold
CUS000254,Customer 254,Female,24,netherlands,Amsterdam,New,2020-01-13,Yes,None
CUS000255,Customer 255, Male,71,ES ,Seville,new,2023-08-11,Yes,Gold
CUS000256,Customer 256,Male,28,Italy,MILAN, Returning,2020-11-25,Yes,None
CUS000257,Customer 257 ,female,67,Netherlands, Amsterdam,New ,2023-03-20,No,Silver 
CUS000258,CUSTOMER 258,Male,50,France ,PARIS,Returning,2022-11-05, No,none
CUS000259,Customer 259,male,43,austria,salzburg,Returning ,2023-04-07,Yes,NONE
CUS000260,Customer 260,Male,49,Germany ,Munich ,VIP,2024-12-17,yes, None
CUS000261,Customer 261,Male,41,AT,Graz,Returning ,2020-11-14,Yes,Silver
CUS000262,Customer 262,Female,64,Spain,Bilbao,New,2018-05-09,Yes,None
CUS000263,Customer 263,Female,73,ES,Valencia,Returning,2020-02-29,NO,none
CUS000264,Customer 264,Female,33,Italy,naples,Returning,2024-03-15,Yes,Silver
CUS000265,CUSTOMER 265,Male,22,España,madrid,New,2020-03-30,YES,silver
CUS000266,Customer 266,Male,20,Italy,Turin,Returning,2022-10-18,Yes,Gold
CUS000267,Customer 267,Female ,31,Italy,ROME,Returning,2024-05-31,Yes,None
CUS000268,Customer 268,Female,22,Italy,Rome,New,2024-06-25,Yes,None
CUS000269,Customer 269,male,72,IT,Milan,New,2020-10-14,No,Silver
CUS000270,Customer 270, Male,73,spain,Valencia,Returning ,2022-08-04,Yes,Silver
CUS000271,Customer 271,Female,30,Italia,Rome,Returning,2019-07-04,Yes,PLATINUM
CUS000272,CUSTOMER 272,Male,57,IT,MILAN,New,2020-11-15,Yes,gold
CUS000273, Customer 273,Male,57,France,Nice ,VIP,2023-06-03,Yes,Gold
CUS000274,Customer 274,Male,22,IT,Turin,NEW,2024-12-09,Yes,None
CUS000275, Customer 275,FEMALE,70,spain,MADRID,Returning,2018-02-16,Yes,Silver
CUS000276,Customer 276,Male,65,ES ,Barcelona,RETURNING,2022-03-26,Yes,None
CUS000277,Customer 277,Female,29, Netherlands,The Hague,New,2020-07-16,Yes,Silver
CUS000278,Customer 278,Male,58,FR ,NICE, New,2022-08-16,Yes,None
CUS000279,Customer 279,Male,50,Italy,Bologna,New,2020-07-20,Yes,Silver
CUS000280,Customer 280,Male,38,Austria,Innsbruck,New,2022-05-05, Yes,Silver
CUS000281,Customer 281 ,Female,73,Spain,Madrid,Returning,2023-10-20,No,none
CUS000282,Customer 282,Female ,18,Holland,Amsterdam,NEW,2023-08-20,Yes,Gold
CUS000283,Customer 283,Male,46,France,Marseille,New,2021-03-23,Yes,None 
CUS000284,Customer 284,FEMALE,68,Germany,frankfurt,New,2022-02-23, Yes,None
CUS000285,Customer 285,Female,23,Netherlands,Rotterdam,Returning,2024-02-23,No, Gold
CUS000286,Customer 286 ,Male,72,Italy,Naples,returning,2023-03-01,Yes,Silver
CUS000287,Customer 287,Female ,35,Netherlands,Utrecht,New,2023-07-07,No,NONE
CUS000288,customer 288,Female,44,belgium,Antwerp,Returning,2023-10-29,No,Silver
CUS000289,Customer 289 ,Female ,66,NETHERLANDS, Utrecht,VIP,2019-10-01,Yes,Gold
CUS000290,Customer 290,Male,37,Germany,Frankfurt,New,2021-12-20,No,NONE
CUS000291,Customer 291,Female,35,Spain,Barcelona,Returning,2024-01-05,Yes,Silver
CUS000292,Customer 292,Female,48,Österreich,Linz,RETURNING,2018-12-17,No,None
CUS000293,customer 293,female,19,FR,Paris,Returning,2019-06-06,Yes,None
CUS000294, Customer 294,Female,53,spain, Barcelona,returning,2019-02-22,Yes, Gold
CUS000295,Customer 295,Male,74,Deutschland,hamburg,New,2020-10-29,Yes,Silver
CUS000296,Customer 296,Female,54,Italy,Bologna,New,2022-10-05,No,Silver
CUS000297,Customer 297,Female,60,DE,Hamburg,New,2019-10-26, Yes,Gold
CUS000298,Customer 298,Female,20,germany,Berlin,New,2019-05-30,No,Silver
CUS000299,Customer 299,Male,39,NETHERLANDS, Rotterdam,New,2019-08-12,No,None
CUS000300,Customer 300,Male,35,Belgium,Antwerp,Returning ,2023-10-03, Yes,Silver
CUS000301,Customer 301,Female,62,Austria,Linz,Returning,2024-05-24,Yes,PLATINUM
CUS000302,Customer 302,Female,47,Spain,Seville,Returning,2020-06-07,Yes,None
CUS000303,Customer 303,Female,46,Austria,Salzburg,RETURNING,2024-06-12,Yes,Silver
CUS000304,Customer 304,Female,21,BELGIUM,Bruges,New,2024-03-25,Yes,Gold
CUS000305,Customer 305,Male,62,Germany,Berlin,Returning,2018-07-19,Yes,Silver
CUS000306,Customer 306,FEMALE,55,Belgium,brussels,VIP,2022-06-17,yes,None
CUS000307,CUSTOMER 307,Female,42,Italy,Naples,New,2024-08-06,Yes,Platinum
CUS000308,Customer 308,Female,19,Netherlands,Utrecht,RETURNING,2019-05-07,Yes,Silver
CUS000309,Customer 309,Female,34,Germany,Cologne ,New,2024-04-04,No,None
CUS000310,Customer 310,Male,69,Austria,Linz,Returning ,2024-05-11,YES,NONE
CUS000311,Customer 311,Male,70,ES,Seville,New,2019-09-09,No,Silver
CUS000312,Customer 312,Female,54,France,Lyon,Returning,2022-03-14,Yes,silver
CUS000313,Customer 313,Male,43,Spain,Seville,New,2022-10-07,YES,Platinum
CUS000314,Customer 314 ,male,56,Germany,Munich,New,2022-12-16,Yes,Silver
CUS000315,Customer 315,Male,19,Netherlands,The Hague,New,2020-10-27,no,NONE
CUS000316,Customer 316,Female,18,Austria,Linz, VIP,2024-08-15,Yes,None
CUS000317,Customer 317,Male,39,IT ,Rome,New,2024-07-10,Yes,none
CUS000318,Customer 318,Female,62,DE,Berlin,Returning,2022-06-22,No,None
CUS000319,customer 319,Female,61,IT,Naples,Returning,2020-04-16,YES,Silver
